Date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_Volume
2000-01-04,390100,405000,347000,380000,359980
2000-01-05,323000,365000,323000,323000,572480
2000-01-06,350000,352000,322500,328700,418340
2000-01-07,308000,350000,307000,336000,342720
2000-01-10,360000,383000,355000,370000,270250
2000-01-11,365000,378000,347000,351000,258380
2000-01-12,330000,345000,318000,330000,205010
2000-01-13,339500,345000,320100,332800,285170
2000-01-14,341200,355000,332800,340000,221350
2000-01-17,346000,390000,346000,381400,224010
2000-01-18,398000,398000,375500,385000,224060
2000-01-19,379000,389000,362000,385000,278240
2000-01-20,373500,383000,349800,368000,314290
2000-01-21,365000,365000,345300,350500,280240
2000-01-24,345000,400000,340500,381000,320850
2000-01-25,364500,377900,357100,360100,194490
2000-01-26,357000,369000,349200,350100,235550
2000-01-27,350000,357000,348000,357000,171720
2000-01-28,367000,380000,363400,377000,218510
2000-01-31,370000,383000,367700,378000,185770
2000-02-01,378000,384100,360000,366500,188480
2000-02-02,375000,375000,364000,366500,142420
2000-02-03,366500,382000,366500,380000,123520
2000-02-07,381000,401000,381000,394900,273390
2000-02-08,394900,399000,385000,385000,146820
2000-02-09,380000,425000,380000,418000,361190
2000-02-10,430000,480700,423000,450000,518620
2000-02-11,500000,507000,407000,467500,394350
2000-02-14,450000,477800,450000,460000,220890
2000-02-15,459900,459900,420000,420000,255170
2000-02-16,410000,420000,400000,420000,267890
2000-02-17,410000,432000,410000,421100,171110
2000-02-18,421100,445000,380000,380000,182960
2000-02-21,400100,422000,396000,409100,236670
2000-02-22,421400,440000,414000,431300,145950
2000-02-23,432000,449000,401000,438000,304290
2000-02-24,440000,457000,430200,434100,167590
2000-02-25,434100,452000,429100,445200,220160
2000-02-28,452900,452900,420000,420000,251850
2000-02-29,437000,439000,411000,420000,280990
2000-03-02,483000,483000,430000,475000,336660
2000-03-03,470000,487000,450100,470000,206220
2000-03-06,474600,485000,470000,481000,167620
2000-03-07,488000,488000,466000,473000,165150
2000-03-08,468900,473000,462000,473000,106380
2000-03-09,475500,476300,440000,440000,377120
2000-03-10,455000,458800,445000,455000,210540
2000-03-13,431100,441000,420000,430000,179760
2000-03-14,401000,427000,401000,412200,130940
2000-03-15,403000,409900,381100,400000,255710
2000-03-16,403600,416000,390000,410000,218210
2000-03-17,420000,440000,413000,414000,247880
2000-03-20,404000,410000,379900,385000,175070
2000-03-21,390000,405000,363000,399800,205320
2000-03-22,392000,408000,392000,395500,170690
2000-03-23,390000,400000,381100,385500,116220
2000-03-24,391000,393000,380000,381600,114180
2000-03-27,380000,381000,370000,373300,148860
2000-03-28,368000,380000,362000,362100,174350
2000-03-29,355000,393500,350100,392000,294900
2000-03-30,389000,389000,375000,381100,179730
2000-03-31,367000,380000,360000,360000,186040
2000-04-03,365100,366000,318000,335000,208720
2000-04-04,310000,334500,297000,315100,399330
2000-04-06,314900,327000,303000,305000,237550
2000-04-07,310000,335000,310000,334800,196920
2000-04-10,360000,380000,351000,379000,289530
2000-04-11,369000,379000,355000,379000,189050
2000-04-12,357000,360000,345000,350000,262770
2000-04-14,321000,330000,308000,310000,322170
2000-04-17,263600,288000,263500,263500,566670
2000-04-18,299900,300000,265000,280000,606130
2000-04-19,305000,310000,288000,294000,659640
2000-04-20,294000,294000,294000,294000,nan
2000-04-24,305000,326000,301000,302000,389062
2000-04-25,290000,298000,283000,290000,196260
2000-04-26,304500,306000,285000,286000,279975
2000-04-27,262000,280000,261000,271000,355001
2000-04-28,278000,297000,278000,295000,360404
2000-05-02,310000,339000,301000,339000,677661
2000-05-03,339000,350000,333000,340000,602378
