Date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_Volume
2000-01-03,89.5,90,87,87.25,856100
2000-01-04,86.75,87.25,86.25,86.75,1211469
2000-01-05,84,86.5,81.25,81.5,3586200
2000-01-06,82,82.5,75.25,76.75,5992781
2000-01-07,78,81.75,78,81.75,3248941
2000-01-10,83,84.5,80.25,80.75,2107458
2000-01-11,82,82,78.75,79.25,2273380
2000-01-12,78,78.25,77,77.25,3876220
2000-01-13,78.5,78.5,76.75,77.75,2258270
2000-01-14,78.5,79.75,76.75,78.5,2970193
2000-01-17,79,79.5,77.25,78,1526300
2000-01-18,78,78.5,77.5,78.5,1157775
2000-01-19,78,78,75.75,76,3162293
2000-01-20,76,77.5,75.75,77.25,1880185
2000-01-21,76.5,76.75,76,76.25,1682513
2000-01-24,77.75,77.75,76.25,76.5,1540285
2000-01-25,76.25,76.25,75,75.25,2327800
2000-01-26,75.75,77.25,75.75,77.25,805483
2000-01-27,77.25,79.25,77,79,1637487
2000-01-28,79.5,79.5,77,77,2225118
2000-01-31,76,76.5,75,75.75,2917100
2000-02-01,76,77.75,75.75,76,1329405
2000-02-02,76.25,76.5,75.25,75.75,1901646
2000-02-03,75.75,75.75,75,75.25,3054455
2000-02-08,75,76,71.5,72.25,3230510
2000-02-09,73,73.25,70.5,71,4729626
2000-02-10,70,70.75,70,70.25,3850200
2000-02-11,70.25,73,70,71.5,3016515
2000-02-14,70.75,73,70.25,71,2497245
2000-02-15,71.5,71.75,70.5,71.25,2244952
2000-02-16,72,76.5,72,75.75,2519585
2000-02-17,76,76.5,72,72.5,1333495
2000-02-18,72.5,73.25,71,71.75,3605988
2000-02-21,71.5,71.75,70,71.25,1329931
2000-02-22,71.25,71.25,70,70.5,2444400
2000-02-23,70.5,71.75,70.25,71.5,1252000
2000-02-24,71.75,73.25,71.5,72,1378969
2000-02-25,72,72.25,70,71.75,1240915
2000-02-28,71.75,71.75,70,71,1640125
2000-02-29,72,72.5,70,70.25,2902020
2000-03-01,70.5,71.5,70,70.25,2776915
2000-03-02,71,71,68.25,68.75,3798153
2000-03-03,69.25,71,68.25,69.25,1971926
2000-03-06,71,71,68.75,69.25,2414650
2000-03-07,69,69.75,68.75,69.5,1613400
