Date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_Volume
2000-01-04,17.04,17.37,16.93,17.15,24580072
2000-01-05,17.15,17.59,16.99,17.04,30448551
2000-01-06,17.15,17.91,17.15,17.8,58221436
2000-01-07,18.08,18.35,17.48,17.53,54958198
2000-01-10,17.37,17.7,17.31,17.42,31927872
2000-01-11,17.53,17.97,17.42,17.64,40609431
2000-01-12,17.91,18.46,17.75,18.02,62480971
2000-01-13,18.4,18.78,18.08,18.62,72714306
2000-01-14,18.89,18.89,17.91,17.91,50071699
2000-01-15,18.19,18.4,17.75,18.13,25137869
2000-01-17,18.24,18.89,18.24,18.78,49760733
2000-01-18,18.78,18.78,18.29,18.4,23388186
2000-01-19,18.4,18.73,18.24,18.24,23381691
2000-01-20,18.4,18.46,18.02,18.08,16249630
2000-01-21,18.08,18.4,18.02,18.29,25165972
2000-01-24,18.57,19.49,18.4,19.38,99950440
2000-01-25,19.33,19.33,18.84,18.95,39592529
2000-01-26,19.27,19.55,19,19.22,43565936
2000-01-27,19.44,19.87,19.44,19.49,54940842
2000-01-28,19.76,20.85,19.66,20.85,121285200
2000-01-29,20.96,21.23,20.47,21.23,143764302
2000-01-31,21.07,21.18,20.8,20.96,42875081
2000-02-01,21.23,22.38,21.13,22.38,105421557
2000-02-09,22.87,22.87,22.32,22.49,84124714
2000-02-10,22.6,24.01,22.6,23.3,96207001
2000-02-11,23.52,23.68,22.87,23.47,64298124
2000-02-14,23.47,23.47,21.83,22,48115490
2000-02-15,21.78,21.78,20.96,21.45,51062581
2000-02-16,21.72,22,21.29,21.45,34875750
2000-02-17,21.56,22.11,21.56,21.72,42647704
2000-02-18,21.94,22.38,21.29,21.56,51290182
2000-02-19,21.56,21.78,21.23,21.67,31691394
2000-02-21,21.78,22.49,21.78,21.78,60608070
2000-02-22,21.78,22,20.64,20.8,36896077
2000-02-23,20.96,21.13,20.47,20.53,22186383
2000-02-24,20.8,20.85,20.15,20.15,24801043
2000-02-25,20.15,20.47,19.87,19.87,27032962
2000-02-29,20.47,20.47,19.98,20.04,18881485
2000-03-01,20.31,20.8,20.15,20.8,23610721
2000-03-02,20.8,20.8,20.2,20.31,17953788
2000-03-03,20.42,20.53,20.04,20.15,13993819
2000-03-04,20.42,20.42,19.76,19.82,14035126
2000-03-06,19.82,20.04,19.6,19.66,13714369
2000-03-07,19.76,20.36,19.66,19.71,18709029
2000-03-08,20.04,20.04,19.71,19.71,11112075
2000-03-09,19.76,19.98,19.66,19.71,14855450
2000-03-10,19.87,20.36,19.71,19.76,23230565
2000-03-13,19.76,19.76,18.4,18.4,21640545
2000-03-14,18.13,18.57,17.86,17.97,25115421
2000-03-15,17.97,18.29,17.42,17.42,18611592
2000-03-16,16.61,17.53,16.61,17.31,27484710
2000-03-17,17.48,18.51,17.42,17.7,59884661
2000-03-20,17.1,17.1,17.1,17.1,1148099
2000-03-21,16.55,17.7,16.55,17.59,41797361
2000-03-22,17.42,17.53,16.99,16.99,20727168
2000-03-23,16.61,17.75,16.61,17.42,53026485
2000-03-24,17.48,17.64,16.88,17.04,27756928
2000-03-27,17.04,17.31,16.72,17.15,32642103
2000-03-28,17.42,17.7,17.21,17.26,29722746
2000-03-29,17.42,17.59,17.1,17.15,19020617
2000-03-30,17.31,17.86,17.26,17.53,40479786
2000-03-31,17.7,18.24,17.59,17.7,40832413
2000-04-01,17.8,17.8,17.31,17.48,17681563
2000-04-05,17.48,17.86,17.31,17.48,23799490
2000-04-06,17.48,17.86,17.31,17.31,23353214
2000-04-07,17.37,17.48,16.99,16.99,16245964
2000-04-08,16.99,17.1,16.77,16.88,15867461
2000-04-10,16.88,17.26,16.77,16.88,16807311
2000-04-11,16.93,17.31,16.93,17.26,18257895
2000-04-12,17.26,17.75,17.26,17.26,43906720
2000-04-13,17.26,17.59,17.04,17.1,18744207
2000-04-14,17.04,17.37,16.88,16.88,15193043
2000-04-15,16.61,16.61,15.79,16.01,29845108
2000-04-17,16.06,16.33,15.68,15.74,42243
2000-04-18,16.06,16.23,15.9,16.01,19892678
2000-04-19,16.17,16.23,15.52,15.57,17749758
2000-04-20,15.57,16.33,15.57,15.79,31442039
2000-04-21,15.79,16.12,15.74,15.79,20676713
2000-04-24,15.84,15.84,14.86,14.86,21701454
2000-04-25,14.81,15.03,14.7,14.76,16892681
2000-04-26,14.76,14.86,13.77,13.94,29017941
2000-04-27,13.94,14.05,13.61,13.72,19361142
