Date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_Volume
2000-01-04,3.811,4.007,3.732,3.948,9844656
2000-01-05,3.948,4.007,3.854,3.889,7911506
2000-01-06,3.874,4.125,3.834,4.113,11288990
2000-01-07,4.121,4.341,4.121,4.216,28555503
2000-01-10,4.243,4.381,4.239,4.298,33207123
2000-01-11,4.282,4.282,3.992,4.027,13035542
2000-01-12,3.999,4.054,3.913,3.929,6414400
2000-01-13,3.929,3.968,3.913,3.917,3040900
2000-01-14,3.968,3.999,3.862,3.878,3380627
2000-01-17,3.889,4.003,3.846,3.933,2692424
2000-01-18,3.96,3.968,3.889,3.913,3316184
2000-01-19,3.913,4.102,3.909,4.031,12170496
2000-01-20,4.039,4.07,3.976,4.066,7342199
2000-01-21,4.066,4.078,3.925,3.929,18164583
2000-01-24,3.937,4.007,3.85,3.948,11070785
2000-01-25,3.929,4.302,3.85,4.192,42407649
2000-01-26,4.314,4.318,4.007,4.047,28840060
2000-01-27,4.078,4.117,3.968,4.007,22369953
2000-01-28,4.027,4.216,3.999,4.161,34855813
2000-02-14,4.322,4.577,4.322,4.577,70348591
2000-02-15,4.707,4.746,4.271,4.302,65540956
2000-02-16,4.302,4.369,4.172,4.204,25320913
2000-02-17,4.243,4.506,4.164,4.314,48911723
2000-02-18,4.616,4.616,4.164,4.212,19213408
2000-02-21,4.247,4.424,4.176,4.243,27632449
2000-02-22,4.314,4.322,4.125,4.157,18557554
2000-02-23,4.145,4.157,4.007,4.015,12376102
2000-02-24,4.015,4.106,3.988,4.035,7801231
2000-02-25,4.047,4.066,3.948,3.98,10212636
2000-02-28,3.976,4.074,3.889,4.007,14328067
2000-02-29,4.039,4.267,4.023,4.125,20953519
2000-03-01,4.216,4.318,4.125,4.172,30262677
2000-03-02,4.196,4.255,4.027,4.086,13173538
2000-03-03,4.086,4.164,4.066,4.102,14319504
2000-03-06,4.106,4.267,4.07,4.078,13854553
2000-03-07,4.078,4.365,4.074,4.306,29404228
2000-03-08,4.31,4.322,4.164,4.208,11349363
2000-03-09,4.204,4.314,4.153,4.239,14309104
2000-03-10,4.263,4.302,4.086,4.094,12288677
2000-03-13,4.106,4.204,4.086,4.125,7567719
2000-03-14,4.086,4.086,3.925,3.999,17651683
2000-03-15,4.007,4.078,3.996,4.011,8330600
2000-03-16,3.929,3.999,3.889,3.929,13031551
2000-03-17,3.929,3.98,3.929,3.968,9212290
2000-03-20,3.952,4.086,3.941,4.031,8137105
2000-03-21,4.047,4.058,3.968,4.039,10745309
2000-03-22,4.007,4.07,3.984,4.007,10334177
2000-03-23,4.027,4.109,4.007,4.054,12404487
2000-03-24,4.106,4.109,3.968,3.984,13833501
2000-03-27,3.992,4.027,3.968,4.027,15107256
2000-03-28,4.062,4.361,4.043,4.294,54561305
2000-03-29,4.302,4.329,4.153,4.274,30189139
2000-03-30,4.274,4.314,4.204,4.286,16892411
2000-03-31,4.282,4.471,4.243,4.349,45305482
2000-04-03,4.361,4.42,4.247,4.267,19562637
2000-04-04,4.243,4.247,4.133,4.145,12495944
2000-04-05,4.149,4.282,4.145,4.231,13517290
2000-04-06,4.231,4.314,4.164,4.267,10815766
2000-04-07,4.302,4.4,4.247,4.322,22715888
2000-04-10,4.353,4.754,4.353,4.671,83948971
2000-04-11,5.111,5.111,4.542,4.608,61671075
2000-04-12,4.597,4.907,4.589,4.663,74726011
2000-04-13,4.714,4.852,4.64,4.801,46925620
2000-04-14,4.832,4.864,4.616,4.632,33235137
2000-04-17,4.628,4.754,4.392,4.439,41057442
2000-04-18,4.479,4.687,4.392,4.675,32078733
2000-04-19,4.683,4.872,4.636,4.785,67481543
2000-04-20,4.832,5.017,4.832,4.903,58159831
2000-04-21,4.911,4.942,4.746,4.754,27476083
2000-04-24,4.754,4.876,4.695,4.714,20001256
2000-04-25,4.754,4.754,4.589,4.636,16601504
2000-04-26,4.656,4.982,4.656,4.954,72211906
2000-04-27,4.993,5.178,4.754,4.813,91853564
2000-04-28,4.864,4.911,4.754,4.844,29351023
2000-05-08,4.911,5.166,4.883,5.107,64884827
2000-05-09,5.1,5.139,4.907,4.946,24794782
2000-05-10,4.954,5.068,4.844,4.911,26424758
2000-05-11,4.919,4.97,4.714,4.734,16950481
2000-05-12,4.734,4.832,4.62,4.636,23843011
2000-05-15,4.675,4.714,4.546,4.569,8082347
