Date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_Volume
2000-01-04,11444.4,11444.4,11444.4,11444.4,1651500
2000-01-05,10500,10622.2,8500,9622.2,14103900
2000-01-06,9566.7,9811.1,9066.7,9066.7,4680900
2000-01-07,8511.1,8888.9,8511.1,8511.1,9772200
2000-01-11,9066.7,9066.7,9066.7,9066.7,384300
2000-01-12,9122.2,9622.2,8644.4,9622.2,8666100
2000-01-13,10177.8,10177.8,10033.3,10177.8,3962700
2000-01-14,10733.3,10733.3,9622.2,10100,10712700
2000-01-17,10433.3,10655.6,10277.8,10655.6,5962500
2000-01-18,10711.1,11111.1,10511.1,10655.6,6291900
2000-01-19,10488.9,10522.2,10100,10100,3576600
2000-01-20,9766.7,10055.6,9544.4,9544.4,6162300
2000-01-21,9766.7,9866.7,9011.1,9444.4,4982400
2000-01-24,9677.8,10011.1,9677.8,10011.1,2747700
2000-01-25,9788.9,10355.6,9688.9,10088.9,4612500
2000-01-26,10088.9,10355.6,10088.9,10322.2,2509200
2000-01-27,10322.2,10566.7,10222.2,10544.4,4026600
2000-01-28,10822.2,11100,10722.2,11100,6366600
2000-01-31,10933.3,11666.7,10933.3,11666.7,7982100
2000-02-01,12222.2,12333.3,11111.1,11777.8,8458200
2000-02-02,12333.3,12444.4,11444.4,11444.4,6898500
2000-02-03,11777.8,13777.8,11444.4,13777.8,13962600
2000-02-04,14333.3,15444.4,14111.1,14777.8,15129000
2000-02-07,15222.2,15333.3,14444.4,14888.9,7133400
2000-02-08,15333.3,15333.3,13888.9,13888.9,7362900
2000-02-09,15000,15000,14333.3,14888.9,6373800
2000-02-10,14666.7,16666.7,14444.4,16444.4,19601100
2000-02-14,16333.3,18888.9,16222.2,18777.8,19765800
2000-02-15,20444.4,22000,17444.4,18777.8,19835100
2000-02-16,18222.2,19666.7,17666.7,18888.9,13396500
2000-02-17,19444.4,19555.6,18555.6,18888.9,9610200
2000-02-18,19444.4,20222.2,19111.1,20222.2,9090900
2000-02-21,19666.7,20666.7,19555.6,19777.8,9927000
