Date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_Volume
2000-01-04,1858,1882,1834,1882,1411553
2000-01-05,1882,1906,1810,1810,3167862
2000-01-06,1834,1834,1810,1834,1070996
2000-01-11,1858,1882,1834,1834,2046490
2000-01-12,1858,1858,1810,1810,1112976
2000-01-13,1810,1834,1787,1787,522642
2000-01-14,1810,1834,1763,1810,1125045
2000-01-17,1810,1858,1787,1787,2359236
2000-01-18,1787,1810,1763,1810,737786
2000-01-19,1763,1763,1691,1739,1520175
2000-01-20,1739,1787,1739,1787,818071
2000-01-21,1763,1763,1739,1739,258697
2000-01-24,1739,1763,1715,1739,2071678
2000-01-25,1739,1739,1691,1715,375715
2000-01-26,1715,1715,1644,1667,1681270
2000-01-27,1667,1739,1667,1715,1689666
2000-01-28,1715,1715,1667,1691,1125045
2000-01-31,1667,1691,1667,1691,168442
2000-02-01,1691,1715,1596,1644,835912
2000-02-02,1620,1644,1525,1525,1461928
2000-02-03,1525,1596,1501,1548,3071309
2000-02-04,1572,1620,1572,1620,1525947
2000-02-07,1644,1691,1620,1691,1541164
2000-02-08,1739,1739,1667,1667,2188170
2000-02-09,1667,1667,1620,1667,624442
2000-02-10,1667,1715,1644,1667,3482181
2000-02-11,1667,1715,1644,1667,2220704
2000-02-14,1667,1691,1644,1644,541008
2000-02-15,1644,1691,1644,1691,3188326
2000-02-16,1667,1667,1644,1644,474891
2000-02-17,1644,1644,1548,1548,2654140
2000-02-18,1548,1548,1501,1548,3677910
2000-02-21,1525,1548,1525,1548,1347010
2000-02-22,1548,1572,1525,1548,1638766
2000-02-23,1548,1596,1525,1572,4007972
2000-02-24,1572,1572,1525,1525,1245735
2000-02-25,1525,1548,1501,1548,745132
2000-02-28,1525,1572,1525,1548,1282992
2000-03-01,1572,1572,1548,1572,3900400
2000-03-02,1572,1572,1477,1477,3380382
2000-03-03,1453,1453,1405,1429,1891691
2000-03-06,1453,1548,1453,1525,3182554
2000-03-07,1525,1525,1477,1501,713123
2000-03-08,1453,1501,1453,1453,1815079
2000-03-09,1501,1525,1501,1525,1152331
2000-03-10,1548,1596,1525,1572,3101744
2000-03-13,1572,1620,1572,1596,3181505
2000-03-14,1596,1667,1596,1667,7894729
2000-03-15,1644,1763,1620,1763,15908049
2000-03-17,1787,1834,1691,1691,7254545
2000-03-20,1691,1691,1667,1691,502177
2000-03-21,1691,1739,1667,1667,713123
2000-03-22,1715,1715,1667,1715,581938
2000-03-23,1715,1739,1691,1715,1486067
2000-03-24,1691,1715,1667,1715,661174
2000-03-27,1667,1715,1644,1691,655926
2000-03-28,1667,1667,1667,1667,395655
2000-03-29,1667,1691,1667,1691,289132
2000-03-30,1691,1691,1644,1644,499029
2000-04-03,1644,1644,1620,1644,293330
2000-04-05,1620,1620,1572,1596,633887
2000-04-07,1620,1691,1620,1667,1023245
2000-04-10,1691,1691,1644,1667,364695
2000-04-11,1644,1667,1620,1644,203075
2000-04-12,1620,1667,1620,1667,212520
2000-04-13,1644,1667,1644,1667,287033
2000-04-14,1644,1644,1620,1644,440258
2000-04-17,1596,1596,1548,1548,624967
2000-04-18,1572,1572,1525,1548,472792
2000-04-19,1548,1572,1525,1548,705777
2000-04-20,1525,1548,1501,1525,428189
2000-04-24,1525,1572,1525,1572,501652
2000-04-25,1596,1644,1596,1596,3252870
2000-04-26,1596,1644,1596,1596,952930
2000-04-27,1620,1620,1596,1620,610799
2000-04-28,1620,1620,1596,1596,124888
2000-05-01,1596,1596,1596,1596,58771
2000-05-02,1596,1620,1572,1596,567245
2000-05-03,1620,1644,1620,1620,1139213
2000-05-04,1620,1739,1620,1691,5212777
2000-05-05,1715,1763,1691,1715,3674237
2000-05-08,1715,1715,1667,1691,854278
2000-05-09,1691,1691,1644,1691,857427
2000-05-10,1667,1787,1667,1715,8612574
2000-05-11,1715,1739,1691,1715,2539222
2000-05-12,1715,1715,1644,1667,1727447
2000-05-15,1644,1667,1644,1644,43554
2000-05-16,1667,1667,1596,1596,1593114
2000-05-17,1620,1691,1596,1691,1939968
2000-05-19,1667,1691,1644,1644,421892
2000-05-22,1620,1620,1620,1620,90780
2000-05-23,1596,1644,1596,1620,884713
2000-05-24,1596,1620,1596,1620,248202
2000-05-25,1620,1620,1596,1596,390932
2000-05-26,1596,1596,1548,1596,723618
2000-05-29,1572,1572,1453,1453,642283
2000-05-30,1453,1501,1382,1501,1940492
2000-05-31,1548,1572,1453,1477,1582094
2000-06-02,1477,1477,1453,1453,269192
2000-06-05,1477,1477,1453,1453,185758
2000-06-06,1429,1429,1429,1429,41979
2000-06-07,1429,1501,1429,1477,485910
2000-06-08,1477,1596,1477,1572,1975125
2000-06-09,1525,1548,1525,1548,138007
2000-06-12,1525,1548,1525,1548,174214
2000-06-13,1525,1548,1525,1548,236658
2000-06-14,1525,1548,1525,1548,280736
2000-06-16,1525,1548,1525,1548,162145
2000-06-19,1525,1548,1525,1525,310647
2000-06-20,1525,1548,1525,1525,250301
2000-06-21,1525,1548,1525,1548,650679
2000-06-22,1548,1620,1548,1620,2659387
2000-06-23,1620,1620,1596,1596,142730
2000-06-26,1572,1620,1572,1596,422941
2000-06-27,1596,1596,1572,1596,158997
2000-06-28,1596,1667,1596,1667,784488
2000-06-29,1667,1691,1644,1691,1190113
2000-06-30,1667,1667,1644,1644,710499
2000-07-03,1644,1644,1596,1620,213045
2000-07-04,1596,1629,1596,1629,103899
2000-07-05,1596,1644,1596,1644,298053
2000-07-06,1620,1644,1620,1644,170541
2000-07-07,1629,1644,1601,1601,171590
2000-07-10,1596,1596,1586,1596,267618
2000-07-11,1591,1591,1591,1591,5247
2000-07-12,1591,1591,1572,1572,39356
2000-07-13,1591,1596,1577,1582,220916
2000-07-14,1577,1577,1577,1577,2099
2000-07-17,1572,1577,1572,1577,159521
2000-07-18,1582,1596,1582,1596,89206
2000-07-19,1606,1620,1601,1620,128562
2000-07-20,1620,1620,1582,1620,134334
2000-07-21,1596,1596,1577,1577,136957
2000-07-24,1582,1596,1577,1596,79236
2000-07-25,1582,1582,1548,1553,245054
2000-07-26,1544,1544,1520,1525,277588
2000-07-27,1525,1558,1525,1553,198877
2000-07-28,1563,1563,1563,1563,525
2000-07-31,1529,1529,1529,1529,31484
2000-08-01,1539,1539,1525,1529,112295
2000-08-02,1529,1563,1529,1548,150076
2000-08-03,1548,1591,1548,1582,666421
2000-08-04,1601,1606,1582,1586,1594163
2000-08-07,1577,1577,1572,1572,270242
2000-08-08,1572,1577,1567,1577,164244
2000-08-09,1577,1577,1563,1572,39880
2000-08-10,1567,1577,1563,1563,67167
2000-08-11,1572,1572,1572,1572,36732
2000-08-14,1572,1572,1548,1548,100750
2000-08-15,1544,1548,1539,1548,101275
2000-08-16,1544,1544,1534,1534,106522
2000-08-18,1539,1544,1539,1544,24138
2000-08-21,1544,1577,1544,1572,246628
2000-08-22,1572,1596,1567,1572,221441
2000-08-23,1563,1563,1563,1563,431862
2000-08-24,1525,1539,1515,1515,209896
2000-08-25,1477,1501,1477,1482,79236
2000-08-28,1496,1496,1486,1486,77137
2000-08-29,1477,1477,1429,1429,152175
2000-08-30,1429,1429,1286,1329,1607282
2000-08-31,1310,1334,1296,1320,400902
2000-09-01,1339,1372,1339,1339,167392
2000-09-04,1334,1353,1334,1353,41979
2000-09-05,1353,1358,1353,1358,56147
2000-09-06,1358,1372,1344,1344,41455
2000-09-07,1353,1358,1324,1353,145353
2000-09-08,1334,1334,1310,1315,108621
2000-09-11,1315,1315,1286,1286,33059
2000-09-12,1296,1296,1277,1286,227738
2000-09-13,1258,1277,1258,1263,92879
2000-09-18,1191,1191,1143,1148,141680
2000-09-19,1143,1172,1143,1162,342656
2000-09-20,1158,1167,1143,1143,213045
2000-09-21,1143,1143,1143,1143,46702
2000-09-22,1134,1134,1124,1124,10495
2000-09-25,1124,1124,1120,1120,24138
2000-09-26,1096,1105,1096,1101,117542
2000-09-27,1091,1096,1091,1096,39356
2000-09-28,1096,1101,1096,1101,144829
2000-09-29,1105,1115,1101,1115,267618
2000-10-02,1115,1129,1115,1129,102324
2000-10-03,1105,1105,1105,1105,13119
2000-10-04,1062,1062,1048,1048,50375
2000-10-05,1072,1105,1072,1081,122265
