Date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_Volume
2000-01-04,4714,6947,4714,6947,455439
2000-01-05,6947,9428,6451,9180,1504864
2000-01-06,9676,10669,8436,8932,2305913
2000-01-11,9180,9180,7443,8188,852437
2000-01-12,7940,7940,7443,7443,703311
2000-01-13,7443,7691,7443,7691,67006
2000-01-14,7691,7691,7195,7195,241826
2000-01-17,7195,7443,7195,7443,43831
2000-01-18,7443,7443,6947,7195,21160
2000-01-19,7195,7195,6699,6699,65495
2000-01-20,6947,7195,6947,7195,11084
2000-01-21,7195,7195,6947,6947,54915
2000-01-24,6947,6947,6699,6699,11084
2000-01-25,5955,6451,5955,6451,520934
2000-01-26,6451,6451,6203,6203,31236
2000-01-27,6203,6203,6203,6203,127966
2000-01-28,6203,6203,6203,6203,134516
2000-01-31,5955,5955,5955,5955,1008
2000-02-01,5955,5955,5955,5955,504
2000-02-02,5955,5955,5707,5707,9068
2000-02-03,5955,5955,5955,5955,5038
2000-02-04,5955,5955,5955,5955,39297
2000-02-07,5707,5707,5707,5707,10076
2000-02-08,5955,5955,5707,5707,260971
2000-02-09,5955,5955,5707,5707,190942
2000-02-10,5458,5707,5458,5458,10580
2000-02-11,5458,5707,5458,5707,26702
2000-02-14,5458,5458,5458,5458,17633
2000-02-15,5458,5707,5458,5707,117386
2000-02-16,5458,5707,5458,5707,113860
2000-02-17,5210,5955,5210,5955,135020
2000-02-18,5707,5707,5707,5707,20656
2000-02-21,5458,5707,5458,5707,37282
2000-02-22,5707,5707,5707,5707,14610
2000-02-23,5707,5955,5458,5707,58441
2000-02-24,5458,5458,5458,5458,2015
2000-02-25,5458,5458,5458,5458,48365
2000-02-28,5458,5458,5458,5458,20656
2000-03-01,5458,5458,5458,5458,26198
2000-03-03,4962,5458,4962,5458,2519
2000-03-06,5458,5458,3722,3970,191446
2000-03-07,4218,4218,4218,4218,72548
2000-03-08,4218,5210,4218,5210,96730
2000-03-09,5210,5707,5210,5707,58945
2000-03-10,5707,5707,4962,4962,30228
2000-03-13,4962,5458,4962,5458,56426
2000-03-14,5210,5458,5210,5458,49373
2000-03-15,5210,5955,5210,5955,187919
2000-03-17,5955,5955,4962,4962,36274
2000-03-20,4962,5210,4962,4962,39297
2000-03-21,5210,5210,4962,4962,24686
2000-03-22,4962,4962,4714,4714,31236
2000-03-23,4714,4714,4466,4466,19145
2000-03-24,4466,4466,4466,4466,22167
2000-03-27,4466,4466,4466,4466,45342
2000-03-28,4714,4714,4218,4218,369289
2000-03-29,4466,4466,4218,4218,113356
2000-03-30,4466,5458,4466,4714,140058
2000-04-03,4714,4714,4218,4466,253917
2000-04-05,4466,4466,4218,4218,2519
2000-04-07,4218,4218,3722,3722,142577
2000-04-10,3722,3722,3474,3474,56930
2000-04-11,3474,3474,3225,3225,60457
2000-04-12,3474,3474,3225,3225,158195
2000-04-13,3225,3225,2977,2977,109326
2000-04-14,3225,3225,2977,2977,39297
2000-04-17,2977,2977,2729,2977,23679
2000-04-18,3225,3225,3225,3225,21160
2000-04-19,3225,3225,2481,2729,162225
2000-04-20,2977,2977,2481,2977,240315
2000-04-24,2977,3970,2977,3970,243338
2000-04-25,3970,4218,3474,3474,127463
2000-04-26,3474,3474,3225,3225,31740
2000-04-27,3474,3722,3474,3474,52396
2000-04-28,3474,3970,3474,3722,65998
2000-05-01,3474,3722,3474,3474,17633
2000-05-02,3474,3474,3474,3474,3527
2000-05-03,3474,3474,3474,3474,32747
2000-05-04,3474,3474,3225,3225,41312
2000-05-05,3225,3225,3225,3225,5038
2000-05-08,3474,3474,3474,3474,10076
2000-05-09,2977,3225,2977,3225,51892
2000-05-10,3225,3225,3225,3225,24686
2000-05-11,3225,3225,3225,3225,12091
2000-05-12,3225,3225,2977,2977,76074
2000-05-15,3225,3225,2977,3225,25694
2000-05-16,3225,3225,3225,3225,41312
2000-05-17,3225,3225,2977,2977,21664
2000-05-19,3225,3225,3225,3225,15618
2000-05-22,3225,3225,3225,3225,8061
2000-05-24,3225,3225,3225,3225,14610
2000-05-25,3225,3225,3225,3225,41312
2000-05-26,3225,3225,3225,3225,40304
2000-05-29,3225,3225,2977,3225,65998
2000-05-30,3225,3225,3225,3225,82120
2000-05-31,3474,3474,3225,3225,62976
2000-06-02,3225,3474,3225,3474,44335
2000-06-05,3225,3225,3225,3225,504
2000-06-06,3225,3225,3225,3225,27205
2000-06-08,3225,3474,3225,3474,27205
2000-06-09,3474,3474,3225,3225,49877
2000-06-12,3225,3225,2977,2977,83632
2000-06-13,2977,2977,2977,2977,504
2000-06-14,2977,2977,2977,2977,2519
2000-06-16,2977,2977,2977,2977,14107
2000-06-19,2977,2977,2977,2977,3527
2000-06-20,2977,2977,2729,2729,8061
2000-06-21,2977,2977,2729,2729,1511
2000-06-22,2977,2977,2977,2977,36274
2000-06-23,2977,2977,2729,2729,75067
2000-06-26,2729,2729,2481,2729,49373
2000-06-27,2729,2729,2729,2729,12091
2000-06-28,2729,2729,2729,2729,40304
2000-06-29,2729,2729,2729,2729,6549
2000-06-30,2729,2977,2729,2977,30732
2000-07-03,2729,2878,2729,2878,34259
2000-07-04,2729,2779,2729,2779,3527
2000-07-05,2779,2779,2779,2779,5038
2000-07-06,2779,2779,2779,2779,2015
2000-07-07,2729,2729,2729,2729,10580
2000-07-10,2729,2729,2481,2481,17633
2000-07-11,2481,2580,2481,2481,12595
2000-07-12,2481,2481,1786,1786,124440
2000-07-13,1786,1886,1786,1786,56930
2000-07-14,1737,1737,992,992,114867
2000-08-01,1489,1489,1489,1489,5038
2000-08-02,2481,2481,2481,2481,63983
2000-08-03,2977,3573,2977,3077,504812
2000-08-04,2977,3126,2977,3027,54915
2000-08-07,2977,2977,2729,2729,16122
2000-08-08,2729,2779,2729,2729,60960
2000-08-09,2729,2729,2580,2580,22167
2000-08-10,2680,2729,2630,2630,25190
2000-08-11,2630,2928,2630,2779,18137
2000-08-14,2928,2928,2828,2828,36274
2000-08-15,2828,2878,2779,2828,33755
2000-08-16,2779,2779,2729,2729,17633
2000-08-18,2729,2729,2481,2481,5038
2000-08-21,2580,2580,2580,2580,3527
2000-08-22,2481,2680,2481,2680,5038
2000-08-23,2630,2630,2431,2481,28213
2000-08-24,2283,2283,2183,2233,18641
2000-08-25,2084,2084,1786,1985,159706
2000-08-28,1886,1886,1836,1886,59953
2000-08-29,1836,1836,1836,1836,1008
2000-08-30,1836,1886,1836,1886,33251
2000-08-31,1836,1886,1786,1886,89677
2000-09-01,1886,1886,1836,1836,16122
2000-09-04,1836,1836,1638,1687,83128
2000-09-05,2073,2176,1865,2073,89021
2000-09-06,2176,2383,2176,2280,142578
2000-09-07,2383,3212,2383,3212,309280
2000-09-11,3316,3834,2487,2487,251622
2000-09-12,2591,2798,2383,2383,198306
2000-09-13,2591,2591,2487,2487,112422
2000-09-18,2280,2383,2176,2280,187450
2000-09-19,2383,2487,2280,2280,202166
2000-09-20,2073,2073,1865,1969,496488
2000-09-21,1865,1865,1658,1762,353911
2000-09-22,1762,1762,1762,1762,298182
2000-09-25,1762,1762,1658,1762,217606
2000-09-26,1762,1762,1658,1762,802150
2000-09-27,1762,1762,1658,1762,905886
2000-09-28,1762,2383,1762,2280,2104647
2000-09-29,2280,2591,2073,2073,2364471
2000-10-02,2073,2073,1865,2073,1146169
2000-10-03,1969,1969,1969,1969,224602
2000-10-04,1969,1969,1762,1865,1964241
2000-10-05,1865,1865,1762,1762,42218
2000-10-06,1762,1969,1762,1969,809628
2000-10-09,1865,1865,1762,1865,71651
2000-10-10,1865,1865,1762,1762,173699
2000-10-11,1865,1865,1762,1865,27261
2000-10-12,1762,1762,1762,1762,759207
2000-10-13,1762,1762,1658,1658,219053
2000-10-16,1762,1762,1554,1658,1037849
2000-10-17,1658,1658,1554,1554,212298
2000-10-18,1658,1658,1554,1554,165496
2000-10-19,1554,1554,1554,1554,554388
2000-10-20,1554,1658,1554,1554,65378
2000-10-23,1554,1554,1554,1554,90709
