Date,PX_LAST
2002-05-30,2.10938
2002-05-31,2.14063
2002-06-03,2.14063
2002-06-04,2.14063
2002-06-05,2.14063
2002-06-06,2.14063
2002-06-07,2.175
2002-06-10,2.175
2002-06-11,2.175
2002-06-12,2.19063
2002-06-13,2.1875
2002-06-14,2.15625
2002-06-17,2.15625
2002-06-18,2.14063
2002-06-19,2.14063
2002-06-20,2.14063
2002-06-21,2.125
2002-06-24,2.125
2002-06-25,2.125
2002-06-26,2.125
2002-06-27,2.125
2002-06-28,2.09375
2002-07-02,2.03125
2002-07-03,2.03125
2002-07-04,2.04688
2002-07-05,2.01563
2002-07-08,2.04688
2002-07-09,2.0625
2002-07-10,2.04688
2002-07-11,2.04688
2002-07-12,2.03125
2002-07-15,2.03125
2002-07-16,2.03125
2002-07-17,2.03125
2002-07-18,2.00938
2002-07-19,1.99375
2002-07-22,1.99375
2002-07-23,1.99375
2002-07-24,1.99375
2002-07-25,1.99375
2002-07-26,1.99375
2002-07-29,2
2002-07-30,2.03125
2002-07-31,2.04688
2002-08-01,2.01563
2002-08-02,2.01563
2002-08-05,2.04688
2002-08-06,2.03125
2002-08-07,2.03125
2002-08-08,2.01563
2002-08-09,2.01563
2002-08-13,2.03125
2002-08-14,2.04688
2002-08-15,2.07813
2002-08-16,2.0625
2002-08-19,2.04688
2002-08-20,2.04688
2002-08-21,2.04688
2002-08-22,2.04688
2002-08-23,2.04688
2002-08-26,2.03125
2002-08-27,2.04688
2002-08-28,2.03125
2002-08-29,2.03125
2002-08-30,2.03125
2002-09-02,2.03125
2002-09-03,2.03125
2002-09-04,2.01875
2002-09-05,2.01875
2002-09-06,2.025
2002-09-09,2.03125
2002-09-10,2.03125
2002-09-11,2.03125
2002-09-12,2.03125
2002-09-13,2.03125
2002-09-16,2.04688
2002-09-17,2.04688
2002-09-18,2.04688
2002-09-19,2.04688
2002-09-20,2.04688
2002-09-23,2.04688
2002-09-24,2.04688
2002-09-25,2.03125
2002-09-26,2.04688
2002-09-27,2.04688
2002-09-30,2.0625
2002-10-01,2.0625
2002-10-02,2.0625
2002-10-03,2.04688
2002-10-04,2.04688
2002-10-07,2.04688
2002-10-08,2.03125
2002-10-09,2.03125
2002-10-10,2.03125
2002-10-11,2.03125
2002-10-14,2.03125
2002-10-15,2.03125
2002-10-16,2.03125
2002-10-17,2.03125
2002-10-18,2.03125
2002-10-21,2.03125
2002-10-22,2.01563
2002-10-24,2
2002-10-25,2.01563
2002-10-28,2.01563
2002-10-29,2.01563
2002-10-30,2.01563
2002-10-31,2
2002-11-01,2
2002-11-04,2
2002-11-05,2
2002-11-06,2
2002-11-07,1.97188
2002-11-08,1.9375
2002-11-11,1.9375
2002-11-12,1.9375
2002-11-13,1.9375
2002-11-14,1.9375
2002-11-15,1.9375
2002-11-18,1.9375
2002-11-19,1.9375
2002-11-20,1.85938
2002-11-21,1.85313
2002-11-22,1.84375
2002-11-25,1.82813
2002-11-26,1.84375
2002-11-27,1.84375
2002-11-28,1.85938
2002-11-29,1.9172
2002-12-02,1.9172
2002-12-03,1.9172
2002-12-04,1.9172
2002-12-06,1.9172
2002-12-09,1.9172
2002-12-11,1.9172
2002-12-12,1.9172
2002-12-13,1.9172
2002-12-16,1.9172
2002-12-17,1.9172
2002-12-18,1.9172
2002-12-19,1.93283
2002-12-20,1.93283
2002-12-23,1.94845
2002-12-24,1.95313
2002-12-25,1.95313
2002-12-26,1.95313
2002-12-27,1.96875
2003-01-02,1.875
2003-01-03,1.875
2003-01-06,1.875
2003-01-07,1.84688
2003-01-08,1.84375
2003-01-09,1.84375
2003-01-10,1.84375
2003-01-13,1.8125
2003-01-14,1.8125
2003-01-15,1.8125
2003-01-16,1.8125
2003-01-17,1.8125
2003-01-20,1.8125
2003-01-21,1.8125
2003-01-22,1.80625
2003-01-23,1.79688
2003-01-24,1.79688
2003-01-27,1.79688
2003-01-28,1.79688
2003-01-29,1.8125
2003-01-30,1.82813
2003-01-31,1.8125
2003-02-03,1.8125
2003-02-04,1.79688
2003-02-05,1.78908
2003-02-06,1.78908
2003-02-07,1.78125
2003-02-10,1.78125
2003-02-11,1.79375
2003-02-12,1.77345
2003-02-13,1.75783
2003-02-14,1.75783
2003-02-18,1.75158
2003-02-19,1.74533
2003-02-20,1.74533
2003-02-21,1.74533
2003-02-24,1.74533
2003-02-25,1.74533
2003-02-26,1.7297
2003-02-27,1.7297
2003-02-28,1.7297
2003-03-03,1.7422
2003-03-04,1.7297
2003-03-05,1.7297
2003-03-06,1.7375
2003-03-07,1.7375
2003-03-10,1.69063
2003-03-11,1.69063
2003-03-12,1.69063
2003-03-13,1.6875
2003-03-14,1.69063
2003-03-17,1.69063
2003-03-18,1.69843
2003-03-19,1.71093
2003-03-20,1.72655
2003-03-21,1.75
2003-03-24,1.75
2003-03-25,1.7422
2003-03-26,1.73595
2003-03-27,1.73595
2003-03-28,1.73595
2003-03-31,1.7422
2003-04-01,1.74095
2003-04-02,1.73313
2003-04-03,1.73845
2003-04-04,1.7422
2003-04-08,1.75
2003-04-09,1.75
2003-04-10,1.75
2003-04-11,1.75
2003-04-16,1.75
2003-04-17,1.75
2003-04-18,1.75
2003-04-21,1.75
2003-04-22,1.75
2003-04-23,1.75
2003-04-24,1.73595
2003-04-25,1.75
2003-04-28,1.7575
2003-04-29,1.7575
2003-04-30,1.7575
2003-05-02,1.7575
2003-05-06,1.75
2003-05-07,1.75
2003-05-08,1.75
2003-05-09,1.75
2003-05-12,1.75
2003-05-13,1.75
2003-05-14,1.75
2003-05-16,1.75
2003-05-19,1.75
2003-05-20,1.75
2003-05-21,1.75
2003-05-22,1.75
2003-05-23,1.75
2003-05-26,1.75
2003-05-27,1.75
2003-05-28,1.75
2003-05-29,1.75
2003-05-30,1.75
2003-06-02,1.7575
2003-06-03,1.7625
2003-06-04,1.7625
2003-06-05,1.7625
2003-06-06,1.7625
2003-06-09,1.7625
2003-06-10,1.78125
2003-06-11,1.78125
2003-06-12,1.79
2003-06-13,1.8
2003-06-16,1.8
2003-06-17,1.7975
2003-06-18,1.7945
2003-06-19,1.7945
2003-06-20,1.7945
2003-06-23,1.7945
2003-06-24,1.782
2003-06-25,1.779
2003-06-26,1.789
2003-06-27,1.789
2003-06-30,1.485
2003-07-02,1.47
2003-07-03,1.3375
2003-07-04,1.3275
2003-07-07,1.3
2003-07-08,1.2825
2003-07-09,1.2625
2003-07-10,1.25
2003-07-11,1.25
2003-07-15,1.25
2003-07-16,1.25
2003-07-17,1.25
2003-07-18,1.25
2003-07-21,1.25
2003-07-22,1.25
2003-07-23,1.25
2003-07-24,1.25
2003-07-25,1.25
2003-07-28,1.25
2003-07-29,1.24
2003-07-30,1.24
