Date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_Volume
2000-01-03,21.5,21.5,20.1,21.1,322970
2000-01-04,21.25,21.25,20.1,20.6,167947
2000-01-05,20.05,20.4,19.7,19.8,129090
2000-01-06,19.65,20.4,19.5,19.8,131950
2000-01-07,19.95,19.95,19.25,19.7,308454
2000-01-10,19.75,20.5,19.65,19.8,103440
2000-01-11,19.8,20,19.2,19.2,61555
2000-01-12,19.1,19.5,19,19.3,59700
2000-01-13,19.1,19.4,19,19,85300
2000-01-14,19,19,18.5,18.8,229623
2000-01-17,20.1,20.1,19.05,19.15,51300
2000-01-18,19.5,19.5,19.15,19.2,35700
2000-01-19,19.15,19.25,19,19.25,22550
2000-01-20,19.3,19.6,18.9,19,87323
2000-01-21,18.95,19.15,18.7,19,162226
2000-01-24,18.75,19.1,18,18.75,88550
2000-01-25,18.75,19.05,18.75,19.05,30700
2000-01-27,19,19.15,18.5,18.7,52855
2000-01-28,18.75,19.15,18.7,19,128550
2000-01-31,19.7,20,18.5,18.5,152220
2000-02-01,18.75,18.8,18.35,18.7,89650
2000-02-02,18.75,19,18.1,18.75,90575
2000-02-03,18.75,18.9,18.4,18.6,79947
2000-02-04,18.8,19,18.25,18.25,441601
2000-02-07,18.95,18.95,17.85,18.25,138980
2000-02-08,18.65,18.95,18,18.15,55445
2000-02-09,18.5,18.5,17.5,17.7,159301
2000-02-10,17.5,17.9,17,17.9,61150
2000-02-11,17.65,18,17.25,18,179990
2000-02-14,19,19.25,18.05,18.75,208641
2000-02-15,18.75,19,18.05,18.25,115386
2000-02-16,18.5,18.6,17.5,17.75,70220
2000-02-17,18,18.05,17.5,18.05,60952
2000-02-18,18,18,17.25,17.4,143048
2000-02-21,17.75,18.5,17.6,17.6,65000
2000-02-22,17.9,18.45,17,17.1,56120
2000-02-23,17,17.6,17,17.5,57327
2000-02-24,17.4,17.5,17.2,17.35,29637
2000-02-25,17,17,16.1,16.6,106050
2000-02-28,17.4,17.9,16.9,17.9,73801
2000-02-29,18.5,19.3,17.85,17.9,488001
