Date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_Volume
2000-01-03,812.98,834.3,812.98,833.89,89846200
2000-01-04,834.81,837.66,829.76,832.8,103776400
2000-01-05,818.95,823.88,808.4,815.8,91127000
2000-01-06,818.41,826.62,811.62,818.43,84838800
2000-01-11,831.72,850.23,831.72,846.74,143622000
2000-01-12,847.94,869.7,844.71,869.62,138350208
2000-01-13,870.91,898.95,870.91,890.6,198852000
2000-01-14,894.05,930.38,892.9,928.24,253679200
2000-01-17,945.74,979.41,945.74,953.42,377090592
2000-01-18,954.72,966.73,940.99,949.62,197770208
2000-01-19,945.72,963.25,926.48,933.38,172448000
2000-01-20,936.73,958.27,936.73,950.86,197626592
2000-01-21,951.95,961.61,947.13,953.96,182272992
2000-01-24,956.49,962.11,950.64,954.5,139294208
2000-01-25,950.04,952.29,934.66,952.06,139652608
2000-01-26,954.47,962.1,939.88,940.95,162729200
2000-01-27,946.9,950.36,929.44,939.59,100301600
2000-01-28,942.27,945.35,932.05,935.57,97847000
2000-01-31,930.1,931.58,914.21,922.1,92968400
2000-02-02,928.89,947.91,928.89,942.85,154558800
2000-02-03,946.57,957.96,946.57,957.66,166930592
2000-02-08,970.2,988.35,970.2,979.05,203019392
2000-02-09,983.4,998.08,983.4,991.85,241539600
2000-02-10,989.03,1001.88,983.6,997.59,209715392
2000-02-11,1000.68,1009.48,995.21,999.81,182599600
2000-02-14,1000.29,1003.53,990.93,998.29,147060400
2000-02-15,1008.48,1017,990.19,995.52,197624400
2000-02-16,1000.81,1003.62,984.41,998.77,118423200
2000-02-17,999.14,1010.45,995.46,1006.82,163660800
2000-02-18,1016.37,1021.2,1010.48,1013.27,222811600
2000-02-21,1007.86,1012.26,1001.97,1007.13,144618400
2000-02-22,1009.83,1010.68,993.25,1000.83,151643808
2000-02-23,1005.6,1009.9,1001.91,1009.21,229948608
2000-02-24,1013.69,1014.41,1003.53,1009.53,191713600
2000-02-25,1013.2,1014.66,1002.3,1002.62,195526208
2000-02-28,993.22,1003.72,983.09,983.77,140603008
2000-02-29,988.93,991.94,968.54,982.24,124471200
2000-03-01,981.37,988.4,969.2,969.96,93439800
2000-03-02,970.84,970.84,936.68,941.82,130105400
2000-03-03,941.4,948.31,928.49,948.31,106917400
2000-03-06,954.58,961.68,939.02,940.49,74157400
2000-03-07,939.62,940.47,926.11,929.44,79461800
2000-03-08,913.01,935.6,905.54,930.72,92492400
2000-03-09,929.88,932.28,918.46,922.59,75069600
2000-03-10,924.55,948.09,924.55,948.09,128590600
2000-03-13,949.94,952.84,933.47,935.83,100175400
2000-03-14,935.12,935.61,927.58,932.05,37347800
2000-03-15,929.08,929.08,916.63,920.49,37871200
2000-03-17,931.45,941.2,927.41,934.78,70171200
2000-03-20,933.92,933.92,921.31,928.71,45852000
2000-03-21,928.24,941.2,924.63,939.5,55844800
2000-03-22,948.36,955.47,945.51,949.11,69424600
2000-03-23,949.07,971.19,949.07,971.19,93404600
2000-03-24,978.41,982.25,967.83,970.27,91998200
2000-03-27,971.83,989.19,971.83,988.37,95759400
2000-03-28,988.64,990.5,979.75,981.57,87887400
2000-03-29,981.46,988.17,974.43,985.13,104168600
2000-03-30,986.54,987.88,965.85,971.48,111946000
2000-03-31,970.24,974.38,965.78,974.38,84629000
2000-04-03,977.51,979.49,963.01,965.41,103155600
2000-04-04,966.65,967.07,957.84,960.63,78390200
2000-04-05,959.08,963.84,948.98,955.06,99941600
2000-04-07,957.39,962.18,947.88,949.85,91717400
2000-04-10,951.37,952.07,932.5,939.55,92833200
