Date,PX_LAST
2000-01-03,5.04464
2000-01-04,4.89732
2000-01-05,5.0558
2000-01-06,4.69196
2000-01-07,4.67857
2000-01-10,4.82366
2000-01-11,4.92411
2000-01-12,4.84821
2000-01-13,4.84152
2000-01-14,4.58482
2000-01-17,5.14732
2000-01-18,5.26786
2000-01-19,5.27902
2000-01-20,5.35491
2000-01-21,5.53348
2000-01-24,5.43527
2000-01-25,5.40402
2000-01-26,5.35268
2000-01-27,5.3817
2000-01-28,5.52232
2000-01-31,5.85268
2000-02-01,5.79241
2000-02-02,5.84152
2000-02-03,5.71205
2000-02-08,5.79018
2000-02-09,5.90848
2000-02-10,5.78125
2000-02-11,5.77679
2000-02-14,6.10938
2000-02-15,6.03571
2000-02-16,5.97545
2000-02-17,5.8192
2000-02-18,5.95759
2000-02-21,5.87054
2000-02-22,5.84375
2000-02-23,5.9352
2000-02-24,5.87946
2000-02-25,5.9129
2000-02-28,5.91071
2000-02-29,5.98214
2000-03-01,5.95313
2000-03-02,5.89732
2000-03-03,5.80804
2000-03-06,5.77009
2000-03-07,5.84152
2000-03-08,5.79454
2000-03-09,5.75
2000-03-10,5.7567
2000-03-13,5.78571
2000-03-14,5.91295
2000-03-15,5.895
2000-03-16,5.84821
2000-03-17,5.78571
2000-03-20,5.87277
2000-03-21,5.82589
2000-03-22,5.78348
2000-03-23,5.93973
2000-03-24,5.92411
2000-03-27,6.06027
2000-03-28,6.11384
2000-03-29,6.03348
2000-03-30,5.84598
2000-03-31,5.87946
2000-04-03,6.15402
2000-04-05,6.29464
2000-04-06,6.17634
2000-04-07,6.28795
2000-04-10,6.468
2000-04-11,6.51116
2000-04-12,6.5625
2000-04-13,6.35714
2000-04-14,6.14955
2000-04-17,6.41518
2000-04-18,6.36161
2000-04-19,6.45982
2000-04-20,6.48438
2000-04-25,6.52679
2000-04-26,6.47545
2000-04-27,6.63393
2000-04-28,6.60045
2000-05-02,6.60491
2000-05-03,6.54464
2000-05-04,6.52455
2000-05-05,6.64286
2000-05-08,6.88393
2000-05-09,6.82143
2000-05-10,6.81696
2000-05-12,6.9375
2000-05-15,7.01116
2000-05-16,7.0558
2000-05-17,6.82813
2000-05-18,6.8125
2000-05-19,6.88393
2000-05-22,6.78571
2000-05-23,6.75446
2000-05-24,6.82366
2000-05-25,6.79688
2000-05-26,6.77679
2000-05-29,6.80134
2000-05-30,6.72991
2000-05-31,6.72545
2000-06-01,6.76339
2000-06-02,6.66295
2000-06-05,6.45759
2000-06-07,6.47768
2000-06-08,6.61161
2000-06-09,6.54464
2000-06-12,6.5558
2000-06-13,6.55804
2000-06-14,6.63839
2000-06-15,6.5692
2000-06-16,6.41964
2000-06-19,6.42411
2000-06-20,6.49554
2000-06-21,6.375
2000-06-22,6.45759
2000-06-23,6.40848
2000-06-26,6.28348
2000-06-27,6.14063
2000-06-28,6.14509
2000-06-29,6.17634
2000-06-30,6.14286
2000-07-03,6.13393
2000-07-04,6.08929
2000-07-05,6.12723
2000-07-06,5.98661
2000-07-07,5.91518
2000-07-10,6.25446
2000-07-11,6.4375
2000-07-12,6.39063
2000-07-13,6.39063
2000-07-14,6.23661
2000-07-17,5.98438
2000-07-18,6.11607
2000-07-19,6.22098
2000-07-20,6.13839
2000-07-21,6.25446
2000-07-24,6.3125
2000-07-25,6.07143
2000-07-26,6
2000-07-27,5.94196
2000-07-28,5.69866
2000-07-31,5.85045
2000-08-01,5.82813
2000-08-02,5.78348
2000-08-03,5.70982
2000-08-04,5.68973
2000-08-07,5.54241
2000-08-08,5.58929
2000-08-09,5.47321
2000-08-10,5.65848
2000-08-11,5.81473
2000-08-14,5.62054
2000-08-15,5.59598
2000-08-16,5.77232
2000-08-17,6.07143
2000-08-18,6.16518
2000-08-21,6.07366
2000-08-22,6.09598
2000-08-23,6.02902
2000-08-24,5.86607
2000-08-25,5.91964
2000-08-28,6.06027
2000-08-29,6.06473
2000-08-30,6.12723
2000-08-31,6.48884
2000-09-01,6.56473
2000-09-04,6.40848
2000-09-05,6.38616
2000-09-06,6.39732
2000-09-07,6.3058
2000-09-08,6.32589
2000-09-11,6.34375
2000-09-12,6.35714
2000-09-14,6.26563
2000-09-15,6.52902
2000-09-18,6.59375
2000-09-19,6.34821
2000-09-20,6.32143
2000-09-21,6.39063
2000-09-22,6.39509
2000-09-25,6.38616
2000-09-26,6.3683
2000-09-27,6.36161
2000-09-28,6.32366
2000-09-29,6.3125
2000-10-02,6.31696
2000-10-03,6.31696
2000-10-04,6.23214
2000-10-05,6.12723
2000-10-09,6.14509
2000-10-10,6.10938
2000-10-11,6.06696
2000-10-12,5.91964
2000-10-13,5.99107
2000-10-16,5.97991
2000-10-17,5.9375
2000-10-18,5.91964
2000-10-19,5.87054
2000-10-20,5.63839
2000-10-23,5.52679
2000-10-24,5.60491
2000-10-25,5.57366
2000-10-26,5.48884
2000-10-27,5.5
2000-10-30,5.72768
2000-10-31,5.90402
2000-11-01,5.64286
2000-11-02,5.52455
2000-11-03,5.47991
2000-11-06,5.50223
2000-11-07,5.5625
2000-11-08,5.60045
2000-11-09,5.53795
2000-11-10,5.5625
2000-11-13,5.70313
2000-11-14,5.54911
2000-11-15,5.5067
2000-11-16,5.48438
2000-11-17,5.49554
2000-11-20,5.50446
2000-11-21,5.53795
2000-11-22,5.63616
2000-11-23,5.76116
2000-11-24,5.65402
2000-11-27,5.52679
2000-11-28,5.58482
2000-11-29,5.64063
2000-11-30,5.77009
2000-12-01,5.89732
2000-12-04,5.90848
2000-12-05,6.14286
2000-12-06,6.04688
2000-12-07,6.51339
2000-12-08,6.70982
2000-12-11,6.61161
2000-12-12,6.56473
2000-12-13,6.07143
2000-12-14,6.03125
2000-12-15,6.10268
2000-12-18,6.05804
2000-12-19,6.15625
2000-12-20,6.1317
2000-12-21,6.20089
2000-12-22,6.21652
2000-12-27,6.31027
2000-12-28,6.31027
2000-12-29,6.31027
2001-01-02,5.95536
2001-01-03,5.86384
2001-01-04,5.66295
2001-01-05,5.58482
2001-01-08,5.28571
2001-01-09,5.29241
2001-01-10,5.42188
2001-01-11,5.47991
2001-01-12,5.50893
2001-01-15,5.58929
2001-01-16,5.72768
2001-01-17,5.66518
2001-01-18,5.6875
2001-01-19,5.65848
2001-01-22,5.51339
2001-01-23,5.47991
2001-01-29,5.34152
2001-01-30,5.33482
2001-01-31,5.33929
2001-02-01,5.3125
2001-02-02,5.33705
2001-02-05,5.37946
2001-02-06,5.28795
2001-02-07,5.24777
2001-02-08,5.2567
2001-02-09,5.32813
2001-02-12,5.28125
2001-02-13,5.25446
2001-02-14,5.25223
2001-02-15,5.29241
2001-02-16,5.25223
2001-02-19,5.2433
2001-02-20,5.21429
2001-02-21,5.19866
2001-02-22,5.24777
2001-02-23,5.21875
2001-02-26,5.10268
2001-02-27,4.97545
2001-02-28,5.01786
2001-03-01,5.02455
2001-03-02,5.01339
2001-03-05,5.02455
2001-03-06,5.04911
2001-03-07,5.0625
2001-03-08,5.04241
2001-03-09,5.06027
2001-03-12,5.06696
2001-03-13,5.125
2001-03-14,5.01339
2001-03-15,5.00893
2001-03-16,4.94196
2001-03-19,4.88393
2001-03-20,4.78125
2001-03-21,5.01563
2001-03-22,4.89286
2001-03-23,4.90179
2001-03-26,4.875
2001-03-27,4.84375
2001-03-28,5.05357
2001-03-29,5.13839
2001-03-30,5.14063
2001-04-02,5.13616
2001-04-03,5.12277
2001-04-04,5.13393
2001-04-06,5.1317
2001-04-09,4.95982
2001-04-10,4.89509
2001-04-11,4.84375
2001-04-12,4.82589
2001-04-17,4.84375
2001-04-18,4.81473
2001-04-19,4.3192
2001-04-20,4.28348
2001-04-23,4.27455
2001-04-24,4.25
2001-04-25,4.2433
2001-04-26,4.25
2001-04-27,4.28795
2001-05-02,4.19643
2001-05-03,4.125
2001-05-04,4.08482
2001-05-07,3.96652
2001-05-08,3.8817
2001-05-09,3.86607
2001-05-10,3.8683
2001-05-11,3.85491
2001-05-14,3.82589
2001-05-15,3.8058
2001-05-16,3.6942
2001-05-17,3.64286
2001-05-18,3.6808
2001-05-21,3.83482
2001-05-22,3.87277
2001-05-23,3.85714
2001-05-24,3.76563
2001-05-25,3.81473
2001-05-28,3.89509
2001-05-29,3.89063
2001-05-30,3.89732
2001-05-31,3.90848
2001-06-01,3.82143
2001-06-04,3.82143
2001-06-05,3.80804
2001-06-06,3.82143
2001-06-07,3.84821
2001-06-08,3.9308
2001-06-11,3.97321
2001-06-12,3.93973
2001-06-13,3.95089
2001-06-14,3.96875
2001-06-15,3.97768
2001-06-18,3.81473
2001-06-19,3.75446
2001-06-20,3.72768
2001-06-21,3.6808
2001-06-22,3.6317
2001-06-26,3.56696
2001-06-27,3.61161
2001-06-28,3.75223
2001-06-29,3.81473
2001-07-03,3.71652
2001-07-04,3.68304
2001-07-05,3.68304
2001-07-09,3.6808
2001-07-10,3.71429
2001-07-11,3.80804
2001-07-12,3.75893
2001-07-13,3.76786
2001-07-16,3.77232
2001-07-17,3.75893
2001-07-18,3.70089
2001-07-19,3.70313
2001-07-20,3.69643
2001-07-23,3.68973
2001-07-24,3.65402
2001-07-26,3.64732
2001-07-27,3.67634
2001-07-30,3.6808
2001-07-31,3.67634
2001-08-01,3.62277
2001-08-02,3.625
2001-08-03,3.61161
2001-08-06,3.58929
2001-08-07,3.58259
2001-08-08,3.5625
2001-08-09,3.5
2001-08-10,3.49554
2001-08-13,3.46429
2001-08-14,3.41741
2001-08-15,3.38616
2001-08-16,3.42411
2001-08-17,3.38839
2001-08-20,3.39286
2001-08-21,3.375
2001-08-22,3.3683
2001-08-23,3.33929
2001-08-24,3.30804
2001-08-27,3.32589
2001-08-28,3.32366
2001-08-29,3.32143
2001-08-30,3.3683
2001-08-31,3.38616
2001-09-03,3.35268
2001-09-04,3.32589
2001-09-05,3.38393
2001-09-06,3.3683
2001-09-07,3.375
2001-09-10,3.32589
2001-09-11,3.28571
2001-09-12,3.44196
2001-09-13,3.2567
2001-09-14,3.22991
2001-09-17,3.22991
2001-09-18,2.96875
2001-09-19,2.79911
2001-09-20,2.40402
2001-09-21,2.47098
2001-09-24,2.50223
2001-09-25,2.5625
2001-09-26,2.5625
2001-09-27,2.57143
2001-09-28,2.58482
2001-10-03,2.38616
2001-10-04,2.3817
2001-10-05,2.32813
2001-10-08,2.32366
2001-10-09,2.27009
2001-10-10,2.20536
2001-10-11,2.19196
2001-10-12,2.22991
2001-10-15,2.22098
2001-10-16,2.21205
2001-10-17,2.21875
2001-10-18,2.25
2001-10-19,2.45089
2001-10-22,2.32589
2001-10-23,2.31027
2001-10-24,2.26339
2001-10-26,2.19643
2001-10-29,2.1875
2001-10-30,2.1875
2001-10-31,2.14955
2001-11-01,2.04688
2001-11-02,2.01563
2001-11-05,1.95982
2001-11-06,1.89063
2001-11-07,1.90625
2001-11-08,1.88616
2001-11-09,1.84375
2001-11-12,1.79688
2001-11-13,1.73214
2001-11-14,1.74554
2001-11-15,1.7567
2001-11-16,1.75
2001-11-19,1.89732
2001-11-20,1.92411
2001-11-21,2.00223
2001-11-22,2.15848
2001-11-23,2.16518
2001-11-26,2.13393
2001-11-27,2.12946
2001-11-28,2.08482
2001-11-29,2.18304
2001-11-30,2.21652
2001-12-03,2.11607
2001-12-04,2.03125
2001-12-05,1.94643
2001-12-06,1.9442
2001-12-07,1.98214
2001-12-10,1.84821
2001-12-11,1.77009
2001-12-12,1.70089
2001-12-13,1.70536
2001-12-14,1.75223
2001-12-17,1.81696
2001-12-18,1.85491
2001-12-19,1.89509
2001-12-20,2.07366
2001-12-21,2.25
2001-12-24,2.23661
2001-12-27,2.11384
2001-12-28,2.11607
2001-12-31,2.10491
2002-01-02,2
2002-01-03,2
2002-01-04,1.87054
2002-01-07,1.79018
2002-01-08,1.75223
2002-01-09,1.80804
2002-01-10,1.8125
2002-01-11,1.8125
2002-01-14,1.77232
2002-01-15,1.7433
2002-01-16,1.69196
2002-01-17,1.69196
2002-01-18,1.85268
2002-01-21,1.8125
2002-01-22,1.8125
2002-01-23,1.81027
2002-01-24,1.84598
2002-01-25,1.94866
2002-01-28,1.93527
2002-01-29,1.9375
2002-01-30,1.93527
2002-01-31,1.97991
2002-02-01,1.95536
2002-02-04,1.88839
2002-02-05,1.86384
2002-02-06,1.88393
2002-02-07,1.93973
2002-02-08,1.95982
2002-02-11,1.9442
2002-02-15,1.89509
2002-02-18,1.88616
2002-02-19,1.8817
2002-02-20,1.875
2002-02-21,1.8817
2002-02-22,1.9375
2002-02-25,1.95089
2002-02-26,1.97098
2002-02-27,2.00893
2002-02-28,2.00446
2002-03-01,1.98661
2002-03-04,1.9933
2002-03-05,1.95536
2002-03-06,1.95759
2002-03-07,1.97768
2002-03-08,2.0067
2002-03-11,2.1183
2002-03-12,2.07143
2002-03-13,2.11161
2002-03-14,2.18973
2002-03-15,2.2567
2002-03-18,2.24777
2002-03-19,2.19196
2002-03-20,2.1183
2002-03-21,2.1875
2002-03-22,2.13393
2002-03-25,2.13616
2002-03-26,2.13839
2002-03-27,2.1183
2002-03-28,2.125
2002-04-02,2.04911
2002-04-03,2.02679
2002-04-04,2
2002-04-08,1.9375
