Date,PX_LAST
2000-06-01,9
2000-06-02,8.25
2000-06-05,9
2000-06-06,9
2000-06-07,9
2000-06-08,9.25
2000-06-09,9.25
2000-06-12,9.4
2000-06-13,9.45
2000-06-16,9.25
2000-06-19,9.625
2000-06-20,9.4
2000-06-21,10.25
2000-06-22,10.25
2000-06-23,9.4
2000-06-26,9.75
2000-06-27,9.4
2000-06-28,10.25
2000-06-29,9.775
2000-06-30,9.25
2000-07-03,8.375
2000-07-04,8.4
2000-07-06,8.375
2000-07-10,8.375
2000-07-11,8.375
2000-07-14,8.375
2000-07-17,8.38
2000-07-18,8.375
2000-07-19,8.375
2000-07-20,8.375
2000-07-24,10.75
2000-07-25,9.5
2000-07-26,10.5
2000-07-27,10.5
2000-07-28,9
2000-07-31,9.6
2000-08-01,8.8
2000-08-02,9
2000-08-03,8.75
2000-08-04,10.75
2000-08-07,10.625
2000-08-08,11.025
2000-08-09,12.375
2000-08-10,12.375
2000-08-11,12.375
2000-08-14,11.25
2000-08-16,11.5
2000-08-17,11.5
2000-08-18,12.75
2000-08-22,12.75
2000-08-23,12.75
2000-08-24,12.75
2000-08-25,11.3
2000-08-28,12.25
2000-08-29,12.25
2000-08-30,12.25
2000-08-31,11.88
2000-09-04,10.75
2000-09-05,10.75
2000-09-08,10.575
2000-09-11,10.57
2000-09-12,10.55
2000-09-13,10.45
2000-09-14,10.45
2000-09-15,10.45
2000-09-18,10.45
2000-09-19,10.45
2000-09-20,10.45
2000-09-26,10.125
2000-09-27,10.13
2000-09-28,10.125
2000-09-29,10.13
2000-10-03,10.13
2000-10-04,10.13
2000-10-05,9.675
2000-10-06,9.68
2000-10-11,9.675
2000-10-12,9.6
2000-10-13,9.75
2000-10-16,9.75
2000-10-18,9.5
2000-10-19,9.5
2000-10-20,9.375
2000-10-23,9.38
2000-10-25,9
2000-11-01,8.75
2000-11-02,8.75
2000-11-06,9.5
2000-11-07,9.5
2000-11-08,9.5
2000-11-10,9.5
2000-11-13,9.25
2000-11-14,9.375
2000-11-15,9.2
2000-11-16,9.2
2000-11-17,9.2
2000-11-20,8.875
2000-11-21,8.88
2000-11-22,8.88
2000-11-23,8.88
2000-11-24,8.88
2000-11-27,8.88
2000-11-28,8.88
2000-11-29,8.88
2000-12-06,8.5
2000-12-07,8.25
2000-12-08,8.25
2000-12-11,8.25
2000-12-12,8.25
2000-12-13,8.75
2000-12-14,8.75
2000-12-15,8.95
2000-12-19,8.95
2000-12-20,8.8
2000-12-22,9
2000-12-26,9.6
2000-12-27,9.25
2000-12-29,9.25
2001-01-01,9
2001-01-02,9.25
2001-01-03,9.25
2001-01-04,9.25
2001-01-05,9.25
2001-01-08,9.25
2001-01-09,9.25
2001-01-10,9.25
2001-01-11,9.25
2001-01-12,9.25
2001-01-15,9.25
2001-01-16,9.25
2001-01-17,9.25
2001-01-18,9.35
2001-01-19,9.35
2001-01-23,9.35
2001-01-24,9.35
2001-01-25,9.35
2001-01-29,9.35
2001-01-30,9.35
2001-01-31,9.3
2001-02-01,9.3
2001-02-02,9.15
2001-02-05,8.75
2001-02-06,8.95
2001-02-07,8.875
2001-02-08,8.5
2001-02-09,8.5
2001-02-12,8.5
2001-02-13,8.5
2001-02-14,8.5
2001-02-15,8.93
2001-02-16,8.875
2001-02-20,8.37
2001-02-22,8.37
2001-02-23,8.37
2001-02-26,8.37
2001-02-27,8.175
2001-02-28,8.2
2001-03-02,7.5
2001-03-05,7.5
2001-03-07,7.85
2001-03-08,7.5
2001-03-09,7.55
2001-03-12,8.05
2001-03-13,8.05
2001-03-14,8.2
2001-03-15,8.15
2001-03-16,8.15
2001-03-19,7.9
2001-03-20,7.9
2001-03-21,7.9
2001-03-22,7.9
2001-03-23,8
2001-03-27,8
2001-03-28,8.15
2001-03-29,8.1
