Date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_Volume
2000-01-04,676.919,704.032,676.919,700.218,1125346048
2000-01-05,700.218,700.218,674.337,678.087,886749504
2000-01-06,678.087,691.887,678.087,688.521,764817984
2000-01-11,688.521,704.542,688.521,696.003,1779865472
2000-01-12,696.003,698.145,686.705,690.164,1472091520
2000-01-13,690.164,699.675,688.402,691.61,2335089920
2000-01-14,691.61,694.085,683.701,690.892,2407666944
2000-01-17,690.892,707.47,690.892,703.483,1199758464
2000-01-18,703.483,704.349,681.489,685.716,914529024
2000-01-19,685.716,685.916,652.05,655.995,1655760512
2000-01-20,655.995,673.908,655.995,670.153,1285749504
2000-01-21,670.153,670.905,662.932,664.694,912366016
2000-01-24,664.694,668.976,653.55,656.722,1072299008
2000-01-25,656.722,656.722,645.473,649.858,1081940480
2000-01-26,649.858,656.715,640.239,643.385,1326891520
2000-01-27,643.385,650.069,633.813,644.651,944899968
2000-01-28,644.651,646.276,633.272,634.669,1171362944
2000-01-31,634.669,636.372,626.297,636.372,629340032
2000-02-01,636.372,638.376,613.53,616.856,513488000
2000-02-02,616.856,621.723,601.457,603.576,689425152
2000-02-03,603.576,615.014,600.156,614.31,409964512
2000-02-04,614.31,634.998,614.31,634.998,596886976
2000-02-07,634.998,641.167,631.975,636.428,498033984
2000-02-08,636.428,639.752,627.204,629.9,421039008
2000-02-09,629.9,632.451,626.086,632.451,915798016
2000-02-10,632.451,642.138,630.025,639.253,2319482624
2000-02-11,639.253,640.934,630.654,635.078,1268961536
2000-02-14,635.078,638.091,632.097,633.715,907140480
2000-02-15,633.715,641.606,633.715,636.895,620203520
2000-02-16,636.895,637.283,618.903,621.902,662270528
2000-02-17,621.902,623.703,595.116,600.174,644345472
2000-02-18,600.174,604.575,577.959,599.573,537232512
2000-02-21,599.573,599.573,589.769,592.988,437556992
2000-02-22,592.988,596.114,580.517,583.42,432326496
2000-02-23,583.42,591.786,580.842,584.428,452369504
2000-02-24,584.428,587.282,570.98,573.487,421616992
2000-02-25,573.487,575.664,565.347,568.555,359977504
2000-02-28,568.555,579.492,567.152,576.542,379077504
2000-03-01,576.542,581.933,561.714,565.478,552139520
2000-03-02,565.478,565.481,543.281,546.528,429371008
2000-03-03,546.528,548.553,528.204,548.553,454821504
2000-03-06,548.553,571.569,548.553,566.71,642253504
2000-03-07,566.71,566.71,555.452,562.759,557313472
2000-03-08,562.759,571.109,552.005,570.052,483156512
2000-03-09,570.052,589.822,570.052,585.18,694057984
2000-03-10,585.18,598.039,585.18,596.182,600805504
2000-03-13,596.182,599.822,583.579,587.576,452917504
2000-03-14,587.576,590.185,580.853,585.921,231643008
2000-03-15,585.921,587.659,579.628,586.869,343748000
2000-03-17,586.869,598.41,586.869,590.852,416374496
2000-03-20,590.852,590.852,581.327,584.876,269626496
2000-03-21,584.876,585.006,575.401,578.965,265996000
2000-03-22,578.965,586.865,578.965,586.865,350822496
2000-03-23,586.865,593.204,582.679,586.007,417807008
2000-03-24,586.007,589.032,578.059,581.473,480483488
2000-03-27,581.473,585.237,579.685,585.237,260144496
2000-03-28,585.237,588.732,582.216,588.732,381188992
2000-03-29,588.732,591.679,586.545,591.679,682235008
2000-03-30,591.679,593.399,581.834,583.276,674646976
2000-04-03,583.276,583.566,566.525,570.901,297999488
2000-04-05,570.901,570.901,556.597,564.182,283536512
2000-04-07,564.182,570.815,564.182,570.815,220584000
2000-04-10,570.815,571.42,566.64,569.617,171350496
2000-04-11,568.104,569.74,561.834,569.74,259579504
2000-04-12,569.74,570.023,561.101,564.737,216584992
2000-04-13,564.737,565.842,562.273,565.107,271818496
2000-04-14,565.107,565.291,553.543,556.788,293710016
2000-04-17,556.788,556.788,524.353,529.263,870881024
2000-04-18,529.263,536.622,525.769,528.259,396832512
2000-04-19,528.259,530.962,524.808,526.3,419060000
2000-04-20,526.3,526.396,519.213,526.396,208451008
2000-04-24,526.396,530.849,524.444,530.849,168197504
2000-04-25,530.849,530.849,515.62,519.043,291110496
2000-04-26,519.043,524.263,510.067,524.078,364115008
2000-04-27,524.078,524.078,519.179,521.62,199759504
2000-04-28,521.62,526.737,517.966,526.737,268896000
2000-05-01,526.737,526.87,521.506,524.609,135184000
2000-05-02,524.609,531.254,523.885,531.254,291967008
2000-05-03,531.254,539.809,529.106,535.311,286841504
2000-05-04,535.311,539.773,533.13,538.966,275208512
2000-05-05,538.966,545.61,538.966,545.61,241190496
2000-05-08,545.61,553.851,545.389,550.329,263819504
2000-05-09,550.329,550.767,537.887,547.672,197473504
2000-05-10,547.672,548.24,544.043,548.24,195259504
2000-05-11,548.24,548.24,527.433,529.201,252063504
2000-05-12,529.201,532.308,517.432,526.877,226667008
2000-05-15,526.877,526.877,512.784,516.43,185378000
2000-05-16,516.43,516.43,495.201,497.819,371526016
2000-05-17,497.819,514.851,497.819,514.851,345456512
2000-05-19,514.851,515.338,506.159,509.405,233604992
2000-05-22,509.405,509.405,496.802,499.768,252080000
2000-05-23,499.768,499.968,492.997,495.51,288551008
2000-05-24,495.51,495.51,487.822,493.204,231039504
2000-05-25,493.204,497.912,487.707,490.682,255528000
2000-05-26,490.682,490.682,474.63,482.073,496739008
2000-05-29,482.073,482.073,457.981,461.389,501070016
2000-05-30,461.389,468.708,441.636,468.708,528529504
2000-05-31,468.708,474.318,452.795,454.327,772700032
2000-06-02,454.327,459.143,440.463,444.448,497078016
2000-06-05,444.448,454.701,444.448,453.945,278031488
2000-06-06,453.945,453.945,444.917,452.762,208821504
2000-06-07,452.762,459.461,445.517,459.461,273146496
