Date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_Volume
2000-01-03,6.466,6.706,6.466,6.658,4297535
2000-01-04,6.658,6.801,6.61,6.706,3972673
2000-01-05,6.61,6.706,6.37,6.658,6786197
2000-01-06,6.658,6.754,6.514,6.61,4974818
2000-01-11,6.706,6.849,6.706,6.801,11254096
2000-01-12,6.801,7.089,6.754,7.089,11411517
2000-01-13,7.089,7.711,7.089,7.568,15342851
2000-01-14,7.568,8.143,7.568,8.095,28702706
2000-01-17,8.143,8.382,7.999,8.095,10771814
2000-01-18,8.095,8.238,7.999,8.095,10135869
2000-01-19,8.047,8.286,7.999,7.999,4726370
2000-01-20,7.999,8.19,7.999,8.047,7154485
2000-01-21,8.095,8.19,7.999,8.095,7405439
2000-01-24,8.095,8.238,8.095,8.19,6737760
2000-01-25,8.143,8.19,7.999,8.143,6227918
2000-01-26,8.143,8.238,8.095,8.095,3324618
2000-01-27,8.095,8.143,7.951,8.047,2719573
2000-01-28,8.095,8.143,7.999,8.143,2114527
2000-01-31,7.999,8.095,7.951,7.999,2810601
2000-02-02,7.999,8.095,7.951,7.999,6286376
2000-02-03,8.047,8.095,7.999,8.095,4269141
2000-02-08,8.238,8.43,8.19,8.238,10649886
2000-02-09,8.286,8.43,8.238,8.286,5475056
2000-02-10,8.19,8.43,8.143,8.382,7405439
2000-02-11,8.382,8.526,8.382,8.43,2883674
2000-02-14,8.478,8.622,8.382,8.526,2946308
2000-02-15,8.622,8.622,8.334,8.334,4740567
2000-02-16,8.334,8.526,8.334,8.43,3704599
2000-02-17,8.43,8.526,8.334,8.478,2496595
2000-02-18,8.622,8.669,8.382,8.478,7969981
2000-02-21,8.478,8.526,8.334,8.334,5565249
2000-02-22,8.382,8.382,8.143,8.238,8568763
2000-02-23,8.238,8.382,8.238,8.286,4012341
2000-02-24,8.286,8.334,8.143,8.334,1415113
2000-02-25,8.382,8.382,8.238,8.238,2375085
2000-02-28,8.143,8.334,8.143,8.19,4726370
2000-02-29,8.19,8.238,8.095,8.19,7930731
2000-03-01,8.238,8.286,8.047,8.047,10885390
2000-03-02,8.047,8.047,7.759,7.759,11030284
2000-03-03,7.759,7.759,7.424,7.568,7487281
2000-03-06,7.664,7.855,7.424,7.424,2918332
2000-03-07,7.424,7.664,7.424,7.568,2712474
2000-03-08,7.424,7.616,7.328,7.568,7533213
2000-03-09,7.568,7.616,7.472,7.52,3942608
2000-03-10,7.52,7.616,7.52,7.616,5680078
2000-03-13,7.616,7.711,7.568,7.616,3320860
2000-03-14,7.616,7.664,7.568,7.568,838044
2000-03-15,7.52,7.52,7.424,7.424,2830644
2000-03-17,7.52,7.711,7.52,7.664,4393574
2000-03-20,7.616,7.807,7.568,7.711,3219393
2000-03-21,7.664,7.807,7.616,7.759,2559230
2000-03-22,7.855,7.903,7.759,7.855,2000116
2000-03-23,7.855,7.903,7.807,7.855,3106652
2000-03-24,7.903,7.903,7.759,7.903,3509598
2000-03-27,7.903,8.19,7.855,8.19,5116789
2000-03-28,8.19,8.238,8.095,8.143,1452276
2000-03-29,8.143,8.143,7.951,8.143,1745821
2000-03-30,8.19,8.19,8.047,8.143,4017352
2000-03-31,8.095,8.143,7.999,7.999,1551238
2000-04-03,8.047,8.047,7.903,7.951,1716175
2000-04-04,7.424,7.951,7.424,7.951,2655269
2000-04-05,7.855,8.047,7.807,7.999,2880751
2000-04-07,7.999,7.999,7.855,7.903,7119410
2000-04-10,7.903,7.903,7.711,7.807,4373113
2000-04-11,7.759,7.759,7.664,7.664,3542168
2000-04-12,7.711,7.807,7.664,7.807,3696665
2000-04-13,7.807,7.855,7.664,7.807,3639042
2000-04-14,7.759,7.807,7.664,7.759,7134860
2000-04-17,7.185,7.52,7.185,7.472,11170167
2000-04-18,7.472,7.664,7.328,7.424,7336124
2000-04-19,7.472,7.664,7.424,7.664,2000533
2000-04-20,7.616,7.711,7.568,7.664,593771
2000-04-21,7.664,7.664,7.52,7.664,103555
2000-04-24,7.616,7.664,7.568,7.664,368706
2000-04-25,7.664,7.664,7.424,7.52,2263597
2000-04-26,7.616,7.664,7.52,7.664,1719933
2000-04-27,7.616,7.759,7.568,7.711,3109575
2000-04-28,7.711,7.711,7.52,7.568,4295029
2000-05-02,7.568,7.664,7.52,7.616,2557142
2000-05-03,7.616,7.759,7.52,7.711,2756736
2000-05-04,7.616,7.807,7.616,7.664,3094125
2000-05-05,7.711,7.951,7.664,7.951,7927390
2000-05-08,7.951,8.095,7.807,7.855,3392681
2000-05-09,7.807,7.951,7.711,7.759,4006913
2000-05-10,7.759,7.855,7.711,7.855,3679127
2000-05-11,7.759,7.855,7.664,7.855,4335533
2000-05-12,7.855,7.855,7.568,7.759,6594536
2000-05-15,7.759,7.807,7.711,7.807,4460801
2000-05-16,7.807,7.855,7.759,7.759,2894948
2000-05-17,7.759,7.951,7.711,7.903,7510247
