Date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_Volume
2000-01-03,6.1963,6.3988,6.1963,6.3988,2797606
2000-01-04,6.2773,6.3178,6.1558,6.1558,2577847
2000-01-05,5.9938,6.0343,5.7508,5.7913,4619877
2000-01-06,5.9533,5.9533,5.6293,5.7103,7405137
2000-01-07,5.7508,5.9128,5.7508,5.8318,3795164
2000-01-10,5.9938,6.1153,5.8723,5.9533,5471752
2000-01-11,5.9533,6.0748,5.7103,5.7913,6289058
2000-01-12,5.7103,6.0343,5.7103,5.9128,5634719
2000-01-13,5.9128,6.0748,5.9128,6.0343,6896481
2000-01-14,6.0343,6.0748,5.9533,6.0748,4861859
2000-01-17,6.0748,6.1558,5.8318,5.8723,3214901
2000-01-18,5.7913,6.0748,5.7913,5.8318,8565662
2000-01-19,5.7913,5.7913,5.5888,5.5888,7313777
2000-01-20,5.6698,5.7103,5.5888,5.6698,9350868
2000-01-21,5.6698,5.7913,5.6293,5.7508,4938404
2000-01-24,5.6698,5.7913,5.5888,5.6698,4066776
2000-01-25,5.5888,5.6698,5.5484,5.6293,4148259
2000-01-26,5.7508,5.7913,5.6293,5.7508,2222282
2000-01-27,5.7508,6.1153,5.7508,6.0343,8521216
2000-01-28,6.0343,6.0748,5.9533,6.0748,5360638
2000-01-31,5.8723,5.9128,5.6293,5.8723,7242170
2000-02-01,5.8723,5.8723,5.6698,5.6698,2972919
2000-02-02,5.7913,5.8318,5.7103,5.7508,3195147
2000-02-03,5.7508,5.7508,5.5484,5.5888,5728549
2000-02-04,5.5888,5.7103,5.5888,5.6698,1548190
2000-02-08,5.6698,5.7508,5.5484,5.5484,5459406
2000-02-09,5.5888,5.6293,5.2244,5.2649,7760702
2000-02-10,5.2244,5.3054,5.0624,5.2244,7553289
2000-02-11,5.3054,5.3054,5.0219,5.1029,7155748
2000-02-14,5.0624,5.2649,4.9814,5.2244,4049491
2000-02-15,5.2649,5.3459,4.8599,4.9814,9864462
2000-02-16,5.0219,5.0624,4.9004,4.9814,5133471
2000-02-17,4.9814,5.0624,4.9004,4.9004,4079122
2000-02-18,4.9004,4.9814,4.7789,4.8599,5511259
2000-02-21,4.7789,4.8194,4.5359,4.6169,5402614
2000-02-22,4.6574,4.6574,4.3739,4.6169,6392764
