Date,PX_LAST
2000-12-19,13
2000-12-20,13
2000-12-21,13.2
2000-12-22,13.368
2000-12-26,13.325
2000-12-27,13.188
2000-12-28,13.325
2000-12-29,13.375
2001-01-02,13.4875
2001-01-03,13
2001-01-04,13.1
2001-01-05,12.925
2001-01-08,12.875
2001-01-09,12.25
2001-01-10,12.1417
2001-01-11,12.675
2001-01-12,12.125
2001-01-15,12.6375
2001-01-16,12.5625
2001-01-17,13.225
2001-01-18,13.25
2001-01-19,13.2375
2001-01-22,12.1
2001-01-23,11.5
2001-01-24,12
2001-01-25,11.975
2001-01-26,11.9
2001-01-29,11.8125
2001-01-30,11.4425
2001-01-31,11.45
2001-02-01,11.4425
2001-02-02,11.4425
2001-02-05,11.4425
2001-02-06,11.1875
2001-02-07,11.6925
2001-02-08,11.1925
2001-02-09,11.1875
2001-02-12,11.25
2001-02-13,11.0625
2001-02-14,11.0625
2001-02-15,11.0375
2001-02-16,11.0625
2001-02-19,11.05
2001-02-20,11.1875
2001-02-21,11.175
2001-02-22,11.175
2001-02-23,11.15
2001-02-26,11.175
2001-02-27,11.175
2001-02-28,11.175
2001-03-01,10.925
2001-03-02,11.05
2001-03-05,11.05
2001-03-06,11.025
2001-03-07,11.0375
2001-03-08,11.0375
2001-03-09,11.0125
2001-03-12,11.0125
2001-03-13,10.375
2001-03-14,10.75
2001-03-15,10.7375
2001-03-16,10.675
2001-03-19,10.675
2001-03-20,10.375
2001-03-21,10.3125
2001-03-22,9.725
2001-03-23,9.625
2001-03-26,9.55
2001-03-27,9.475
2001-03-28,9.7
2001-03-29,9.725
2001-03-30,9.725
2001-04-02,9.85
2001-04-03,10.05
2001-04-04,10.05
2001-04-05,10.05
2001-04-06,10.325
2001-04-10,10.35
2001-04-11,10.3625
2001-04-16,10.475
2001-04-17,10.5727
2001-04-18,10.1
2001-04-19,10.1625
2001-04-20,10
2001-04-23,9.9375
2001-04-24,9.875
2001-04-25,9.875
2001-04-26,9.875
2001-04-27,9.875
2001-04-30,10.25
2001-05-02,10.2425
2001-05-03,10.3
2001-05-04,10.3075
2001-05-07,10.275
2001-05-08,10.275
2001-05-09,10.25
2001-05-10,10.2
2001-05-11,10.2375
2001-05-15,10
2001-05-16,9.625
2001-05-17,9.7475
2001-05-18,9.675
2001-05-21,9.675
2001-05-22,9.725
2001-05-23,9.725
2001-05-24,9.6
2001-05-25,9.575
2001-05-28,9.5625
2001-05-29,9.35
2001-05-30,9.3375
2001-05-31,9.3325
2001-06-01,9.35
2001-06-04,9.3625
2001-06-05,9.15
2001-06-06,9.1125
2001-06-07,9.1375
2001-06-08,9.15
2001-06-11,9.125
2001-06-13,9.125
2001-06-14,9.125
2001-06-15,9.125
2001-06-18,9.125
2001-06-19,9.25
2001-06-20,9.125
2001-06-21,9.125
2001-06-22,9.125
2001-06-25,9.125
2001-06-26,9.25
2001-06-27,9.25
2001-06-28,9.125
2001-06-29,9.125
2001-07-02,9.125
2001-07-03,9.125
2001-07-04,9.125
2001-07-05,9.125
2001-07-06,9.125
2001-07-09,9.125
2001-07-10,9.125
2001-07-11,9.125
2001-07-12,9.125
2001-07-13,9.125
2001-07-16,9.1375
2001-07-17,9.1875
2001-07-18,9.2188
2001-07-19,9.175
2001-07-20,9.1875
2001-07-23,9.15
2001-07-24,9.0625
2001-07-25,9.0625
2001-07-26,9.0625
2001-07-27,9.125
2001-07-30,9.25
2001-07-31,9.25
2001-08-01,9.25
2001-08-02,9.25
2001-08-03,9.25
2001-08-06,9.25
2001-08-07,8.8
2001-08-08,9.4375
2001-08-09,9.4375
2001-08-10,10
2001-08-13,10.0625
2001-08-14,10
2001-08-15,9.875
2001-08-16,9.9375
2001-08-17,9.9375
2001-08-20,9.9375
2001-08-21,10.1875
2001-08-22,10.1875
2001-08-23,10.1875
2001-08-24,10.1875
2001-08-27,10
2001-08-28,9.9375
2001-08-29,9.9375
2001-08-30,9.9375
2001-08-31,9.9375
2001-09-03,9.9375
2001-09-04,9.875
2001-09-05,9.875
2001-09-06,9.875
2001-09-07,9.875
2001-09-10,9.875
2001-09-11,9.75
2001-09-12,9.75
2001-09-13,9.8
2001-09-14,9.75
2001-09-17,9.75
2001-09-18,9.75
2001-09-19,9.75
2001-09-20,9.75
2001-09-21,9.75
2001-09-24,9.75
2001-09-25,9.8125
2001-09-26,9.8125
2001-09-27,9.8125
2001-09-28,9.8125
2001-10-01,9.8125
2001-10-02,9.9375
2001-10-03,10
2001-10-04,10
2001-10-05,9.75
2001-10-08,9.75
2001-10-09,9.875
2001-10-10,9.875
2001-10-11,9.875
2001-10-12,9.875
2001-10-15,9.875
2001-10-16,9.9375
2001-10-17,9.9375
2001-10-18,9.9375
2001-10-19,9.9125
2001-10-22,9.9875
2001-10-23,10.025
2001-10-24,10.0125
2001-10-25,10.125
2001-10-26,10.25
2001-10-29,10.3
2001-10-30,10.4
2001-10-31,10.4375
2001-11-05,10.315
2001-11-06,10.4
2001-11-07,9.875
2001-11-08,10.4
2001-11-09,10.3475
2001-11-12,10
2001-11-13,10
2001-11-14,9.65
2001-11-15,10.0625
2001-11-16,10.0625
2001-11-19,10.0125
2001-11-20,9.875
2001-11-21,9.875
2001-11-22,10
2001-11-23,9.75
2001-11-26,9.7
2001-11-27,9.35
2001-11-28,9.4
2001-11-29,9.5
2001-12-03,9.45
2001-12-04,9.065
2001-12-05,9
2001-12-06,9.115
2001-12-07,9.065
2001-12-10,9
2001-12-11,8.75
2001-12-12,8.75
2001-12-13,8.8125
2001-12-14,8.75
2001-12-18,8.865
2001-12-19,10.625
2001-12-20,9.125
2001-12-21,9.75
2001-12-26,9.25
2001-12-27,9.475
2001-12-28,9.55
2002-01-02,8.9275
2002-01-03,8.9275
2002-01-04,8.9275
2002-01-07,8.9275
2002-01-08,8.475
2002-01-09,8.375
2002-01-10,8.35
2002-01-11,8.325
2002-01-14,8.425
2002-01-15,8.225
2002-01-16,8.05
2002-01-17,8.15
2002-01-18,8.125
2002-01-21,8
2002-01-22,7.5
2002-01-23,7.4875
2002-01-24,7.5
2002-01-25,7.5375
2002-01-28,7.5475
2002-01-29,7.5
2002-01-30,7.475
2002-01-31,7.5
2002-02-01,7.525
2002-02-05,7.375
2002-02-06,7.375
2002-02-07,7.375
2002-02-08,7.4375
2002-02-11,7.375
2002-02-12,7.425
2002-02-13,7.425
2002-02-14,7.375
2002-02-15,7.35
2002-02-18,7.325
2002-02-19,7.125
2002-02-20,7.125
2002-02-21,7.125
2002-02-22,7.15
2002-02-26,7.25
2002-02-27,7.2
2002-02-28,7.2
2002-03-01,7.2
2002-03-04,7.15
2002-03-05,7.15
2002-03-06,7.15
2002-03-07,7.125
2002-03-08,7.15
2002-03-11,7.125
2002-03-12,7.0375
2002-03-13,7.0375
2002-03-14,6.525
2002-03-15,6.35
2002-03-18,6.1875
2002-03-19,5.75
2002-03-20,5.6
2002-03-21,5.75
2002-03-22,5.75
2002-03-25,5.75
