Date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_Volume
2000-01-03,93.4836,94.4676,93.4836,94.4676,1829
2000-01-04,94.4676,100.3719,94.4676,100.3719,7215
2000-01-05,98.4038,101.3559,98.4038,99.3878,15619
2000-01-06,98.4038,98.4038,98.4038,98.4038,7418
2000-01-07,98.4038,98.4038,98.4038,98.4038,10467
2000-01-10,98.4038,101.3559,98.4038,101.3559,29470
2000-01-11,98.4038,101.3559,98.4038,98.4038,5772
2000-01-12,98.4038,98.4038,95.4517,95.4517,31604
2000-01-13,94.4676,94.4676,92.0076,92.0076,38718
2000-01-14,92.4996,94.9597,92.4996,94.4676,11077
2000-01-17,94.4676,94.4676,88.5634,91.5155,61786
2000-01-18,91.5155,91.5155,91.5155,91.5155,5081
2000-01-19,91.5155,91.5155,88.5634,89.0554,100809
2000-01-20,88.5634,89.5475,87.5794,89.5475,137495
2000-01-21,90.5315,93.9756,90.5315,93.4836,516952
2000-01-24,93.4836,104.308,93.4836,103.324,98269
2000-01-25,100.3719,100.3719,98.4038,98.4038,54287
2000-01-26,98.4038,98.4038,93.4836,94.4676,1097315
2000-01-27,93.4836,93.4836,92.0076,93.4836,94407
2000-01-28,93.4836,93.4836,89.5475,89.5475,158835
2000-01-31,89.5475,92.0076,89.5475,92.0076,39633
2000-02-01,92.0076,94.4676,92.0076,93.9756,79265
2000-02-02,92.9916,92.9916,92.9916,92.9916,4573
2000-02-03,98.4038,98.4038,92.4996,92.4996,46340
2000-02-04,91.5155,91.5155,91.0235,91.0235,9857
2000-02-08,91.0235,91.0235,89.5475,89.5475,64835
2000-02-09,89.5475,89.5475,87.5794,87.5794,82314
2000-02-10,87.0874,87.5794,87.0874,87.5794,219809
2000-02-11,87.5794,87.5794,87.5794,87.5794,6199
2000-02-14,87.0874,87.0874,85.6113,86.1033,23475
2000-02-15,85.6113,86.1033,82.1672,83.1512,58534
2000-02-16,82.6592,82.6592,78.723,78.723,8536
2000-02-17,78.723,78.723,73.8028,74.2949,557600
2000-02-18,73.8028,75.2789,73.8028,75.2789,36076
2000-02-21,74.2949,74.2949,72.8188,73.8028,10365
2000-02-22,72.8188,72.8188,71.3428,71.8348,71440
2000-02-23,71.8348,71.8348,69.8667,69.8667,14938
2000-02-24,70.8507,70.8507,70.3587,70.3587,34755
2000-02-28,68.8827,68.8827,65.9305,66.9146,46136
2000-02-29,67.4066,67.4066,64.9465,64.9465,20629
2000-03-01,64.9465,64.9465,62.9784,62.9784,14735
2000-03-02,61.5024,61.5024,61.0104,61.0104,7418
2000-03-03,61.0104,67.4066,61.0104,67.4066,5589
2000-03-06,70.8507,73.3108,70.8507,73.3108,13516
2000-03-07,73.3108,73.8028,73.3108,73.3108,7723
2000-03-08,73.3108,73.3108,68.8827,70.8507,10569
2000-03-09,68.8827,68.8827,66.9146,66.9146,29064
2000-03-10,67.8986,69.8667,67.8986,69.8667,7317
2000-03-13,69.8667,71.8348,69.8667,71.8348,27641
2000-03-14,73.8028,83.6432,73.8028,80.6911,23373
2000-03-15,80.6911,80.6911,77.739,78.723,32824
2000-03-16,70.8507,70.8507,70.8507,70.8507,102
2000-03-17,70.8507,78.723,70.8507,74.7869,10162
2000-03-20,81.6752,83.6432,79.7071,79.7071,12296
2000-03-21,82.6592,82.6592,80.6911,80.6911,11280
2000-03-22,79.7071,80.6911,79.7071,80.6911,3760
2000-03-23,79.7071,79.7071,79.7071,79.7071,8333
2000-03-24,79.7071,79.7071,79.2151,79.2151,16971
2000-03-27,78.723,78.723,76.755,78.723,32519
2000-03-28,78.231,78.231,75.7709,76.2629,56095
2000-03-29,73.3108,73.3108,70.8507,71.8348,47966
2000-03-30,70.3587,70.3587,64.9465,66.4226,129771
2000-03-31,66.4226,67.4066,66.4226,66.9146,75302
2000-04-03,66.9146,72.8188,66.9146,72.8188,107516
2000-04-04,73.8028,73.8028,70.8507,70.8507,33637
2000-04-05,69.3747,69.3747,68.8827,69.3747,42072
2000-04-06,68.8827,68.8827,68.3906,68.3906,82822
2000-04-07,71.8348,73.8028,70.8507,71.8348,17885
2000-04-10,73.8028,73.8028,71.8348,72.3268,338706
2000-04-11,72.8188,73.3108,72.3268,72.8188,71440
2000-04-12,73.3108,73.3108,71.8348,71.8348,56197
2000-04-13,71.8348,71.8348,68.8827,68.8827,1355131
2000-04-14,70.3587,70.3587,69.8667,70.3587,10467
2000-04-17,70.3587,71.3428,69.8667,70.8507,33637
2000-04-18,71.3428,71.3428,68.8827,68.8827,53656
2000-04-19,68.8827,71.3428,68.8827,71.3428,12195
2000-04-24,73.3108,73.3108,73.3108,73.3108,2642
2000-04-25,72.8188,72.8188,72.3268,72.3268,16260
2000-04-26,71.8348,71.8348,67.4066,68.8827,25406
2000-04-27,68.8827,68.8827,67.4066,67.4066,16463
2000-04-28,66.9146,66.9146,61.0104,62.9784,113207
2000-05-02,62.9784,67.8986,62.9784,66.9146,11585
2000-05-03,63.9625,63.9625,61.9944,62.4864,23271
2000-05-04,61.0104,62.4864,61.0104,61.9944,813
2000-05-05,61.5024,61.5024,58.0582,58.0582,90647
2000-05-08,58.0582,58.0582,54.1221,54.1221,10569
2000-05-09,54.1221,57.0742,54.1221,55.1061,5183
2000-05-10,61.0104,62.4864,61.0104,62.4864,2744
2000-05-12,62.9784,62.9784,61.0104,62.9784,525488
2000-05-15,62.9784,63.9625,62.9784,63.9625,12601
2000-05-16,63.9625,63.9625,63.9625,63.9625,207919
2000-05-17,63.9625,64.4545,63.9625,64.4545,106195
2000-05-18,63.9625,64.4545,63.9625,63.9625,109244
2000-05-19,63.9625,64.4545,63.4705,63.9625,63006
2000-05-22,63.4705,63.4705,62.9784,62.9784,44714
2000-05-23,61.0104,61.0104,60.5183,61.0104,26625
2000-05-24,61.0104,61.9944,61.0104,61.0104,100301
2000-05-25,62.9784,64.4545,62.9784,63.9625,39734
2000-05-26,63.9625,63.9625,63.9625,63.9625,14735
2000-05-29,63.9625,65.4385,63.9625,64.9465,1434904
2000-05-30,65.9305,66.4226,65.9305,66.4226,23881
2000-05-31,66.9146,70.8507,66.9146,66.4226,73778
2000-06-01,66.4226,66.9146,66.4226,66.9146,62498
2000-06-02,67.4066,70.3587,67.4066,70.3587,36482
2000-06-05,70.3587,76.755,70.3587,76.755,82416
2000-06-06,78.723,81.6752,78.723,81.1831,113309
2000-06-07,80.6911,80.6911,72.8188,72.8188,52437
2000-06-08,73.3108,73.3108,67.8986,68.8827,107719
2000-06-09,68.8827,68.8827,66.9146,68.8827,1054634
2000-06-13,68.8827,68.8827,67.4066,68.3906,10467
2000-06-14,67.8986,67.8986,65.9305,65.9305,8638
2000-06-15,65.9305,65.9305,61.9944,61.9944,21341
2000-06-16,61.9944,61.9944,59.0423,59.5343,93492
2000-06-19,59.0423,59.0423,58.0582,58.0582,85871
2000-06-20,58.0582,58.0582,57.0742,57.0742,46848
2000-06-21,57.0742,57.0742,57.0742,57.0742,10467
2000-06-22,57.0742,57.0742,57.0742,57.0742,19003
2000-06-23,58.0582,63.9625,58.0582,60.5183,96236
2000-06-26,59.0423,59.0423,57.5662,57.5662,25710
2000-06-27,56.5822,57.0742,56.5822,57.0742,2134
2000-06-28,57.0742,57.0742,56.0902,56.0902,45323
2000-06-29,57.5662,57.5662,55.5981,55.5981,26828
2000-06-30,55.5981,55.5981,55.1061,55.5981,32214
2000-07-03,56.5822,56.5822,54.1221,54.6141,53148
2000-07-04,56.0902,56.0902,56.0902,56.0902,406
2000-07-05,54.6141,54.6141,54.1221,54.6141,65546
2000-07-06,55.1061,56.0902,54.6141,56.0902,46035
2000-07-07,56.0902,56.0902,55.5981,55.5981,54368
2000-07-10,55.5981,59.0423,55.5981,56.0902,153043
2000-07-11,55.5981,55.5981,55.5981,55.5981,15650
2000-07-12,55.5981,56.0902,55.5981,56.0902,57518
2000-07-13,57.0742,58.0582,57.0742,57.5662,20020
2000-07-14,58.0582,58.5503,57.0742,57.0742,56400
2000-07-17,57.5662,58.0582,57.5662,57.5662,4065
2000-07-18,57.5662,57.5662,57.0742,57.0742,28759
2000-07-19,57.0742,61.9944,57.0742,61.0104,187594
2000-07-20,60.0263,60.0263,54.6141,55.1061,76217
2000-07-21,55.5981,57.0742,55.5981,55.5981,37397
2000-07-24,56.0902,57.5662,56.0902,57.5662,31604
2000-07-25,58.0582,59.0423,57.5662,58.5503,73574
2000-07-26,58.5503,58.5503,58.5503,58.5503,24999
2000-07-27,58.5503,59.0423,58.5503,58.5503,91155
2000-07-28,58.0582,58.0582,40.3456,47.2338,4675937
2000-07-31,48.2179,48.2179,46.7418,46.7418,74387
2000-08-01,47.2338,47.7258,47.2338,47.2338,72965
2000-08-02,47.7258,49.2019,47.2338,49.2019,70831
2000-08-03,49.2019,49.6939,49.2019,49.6939,83737
2000-08-04,49.2019,50.1859,48.7099,48.7099,81603
2000-08-07,49.2019,49.2019,48.7099,48.7099,17581
2000-08-08,48.2179,48.2179,47.2338,47.7258,33434
2000-08-09,47.2338,47.7258,47.2338,47.2338,97760
2000-08-10,47.2338,47.7258,47.2338,47.2338,126011
2000-08-11,47.7258,48.2179,47.7258,48.2179,11788
2000-08-14,48.2179,48.2179,44.2817,45.2657,160766
2000-08-15,45.2657,45.2657,44.2817,44.2817,136377
2000-08-16,45.2657,48.2179,45.2657,46.7418,34856
2000-08-17,46.7418,47.7258,46.7418,47.7258,48880
2000-08-18,48.2179,48.7099,48.2179,48.2179,72050
2000-08-21,48.7099,48.7099,47.7258,48.2179,22357
2000-08-22,47.7258,47.7258,47.7258,47.7258,33230
2000-08-23,48.2179,48.2179,47.7258,47.7258,76725
2000-08-24,47.7258,48.2179,47.7258,48.2179,9959
2000-08-25,48.7099,52.154,48.7099,50.678,131092
2000-08-28,53.1381,53.6301,52.646,53.1381,129670
2000-08-29,54.1221,54.1221,53.6301,53.6301,245925
2000-08-30,53.6301,53.6301,53.6301,53.6301,32316
2000-08-31,53.6301,54.6141,53.1381,54.6141,172046
2000-09-01,54.1221,54.1221,53.6301,53.6301,62802
2000-09-04,54.1221,55.1061,54.1221,55.1061,129771
2000-09-05,55.5981,55.5981,54.6141,54.6141,25406
2000-09-06,54.1221,54.1221,52.154,52.646,18089
2000-09-07,52.646,52.646,51.17,52.154,13109
2000-09-08,51.662,51.662,49.2019,49.6939,161681
2000-09-11,49.2019,49.2019,44.7737,45.7578,214118
2000-09-12,45.2657,45.7578,45.2657,45.2657,48575
2000-09-13,45.2657,45.2657,41.8216,42.3136,740215
2000-09-14,42.8057,43.7897,42.3136,43.7897,289420
2000-09-15,43.7897,43.7897,42.8057,42.8057,36381
2000-09-18,42.3136,43.2977,38.8695,39.3615,354763
2000-09-19,41.3296,41.3296,38.3775,39.3615,210967
2000-09-20,38.8695,38.8695,37.3934,37.8855,352934
2000-09-21,37.3934,38.3775,37.3934,38.3775,263608
2000-09-22,38.3775,38.3775,37.3934,37.8855,252023
2000-09-25,37.3934,38.3775,37.3934,38.3775,32113
2000-09-26,38.3775,38.8695,38.3775,38.8695,33434
