Date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_Volume
2000-01-04,490.48,499.52,490.01,498.46,343413152
2000-01-05,469.91,477.17,464.06,465.85,314138944
2000-01-06,468.81,469.86,443.46,443.46,264320144
2000-01-07,451.58,455.07,440.78,453.31,217141248
2000-01-10,466.25,471.27,458.13,459.47,270876544
2000-01-11,465.74,468.79,452.27,452.48,215262832
2000-01-12,452.48,459.62,447.12,459.62,159318080
2000-01-13,459.62,462.19,456.49,458.4,131454712
2000-01-14,458.4,474.37,458.4,474.37,241377264
2000-01-17,474.37,485.74,474.37,477.09,302257792
2000-01-18,478.84,484.16,478.29,484.16,242349712
2000-01-19,481.13,488.64,479.9,486.33,282685440
2000-01-20,488.58,495.08,485.96,486.64,445441600
2000-01-21,486.64,489.18,476.36,478.92,304150176
2000-01-24,478.92,483.34,473.71,477.22,188072256
2000-01-25,470.52,473.73,469.49,473.22,181201536
2000-01-26,473.22,478.87,469.11,469.22,170676176
2000-01-27,469.22,475.4,469.22,474.91,135953168
2000-01-28,474.91,478.95,473.2,477.45,196545856
2000-01-31,477.45,480.2,472.75,477.57,177685696
2000-02-01,477.57,483.43,474.39,474.39,167755664
2000-02-02,474.39,480.21,470.62,470.62,156021088
2000-02-03,470.62,474.68,464.39,465.78,119068776
2000-02-04,467.08,471.63,462.3,470.34,76447936
2000-02-07,470.54,474.79,470.47,471.97,80703744
2000-02-08,471.97,474.22,465.83,465.94,155407424
2000-02-09,468.74,470.27,455.75,456.02,201253904
2000-02-10,452.89,458.49,448.2,453.1,179188432
2000-02-11,457.28,462.56,454.53,456.12,242089248
2000-02-14,456.27,458.84,445.72,447.56,161918176
2000-02-15,449.33,450.59,430.97,430.97,161297840
2000-02-16,432.71,433.71,422.48,422.83,130227232
2000-02-17,422.83,426.99,405.79,405.81,144115872
2000-02-18,407.01,412.24,400.68,408.35,153618592
2000-02-22,408.35,408.35,379.43,379.43,151617536
2000-02-23,379.75,393.42,375.79,389,129463152
2000-02-24,392.44,399.61,391.3,395.1,135504896
2000-02-25,395.71,407.17,394.45,406.66,187358384
2000-02-28,406.66,406.66,388.39,388.39,124061856
2000-02-29,392.21,394.79,374.32,374.32,141559968
2000-03-01,374.32,380.02,368.08,371.56,131516304
2000-03-02,371.56,391.66,371.56,391.39,193634800
2000-03-03,391.39,397.93,383.13,383.13,221015808
2000-03-06,383.13,385.35,377.87,379.27,121924392
2000-03-07,378.97,382.83,375.95,380.35,122683976
2000-03-08,380.35,386.46,372.73,385.56,134468672
2000-03-09,385.56,397.44,385.56,393.23,195531264
2000-03-10,400.26,403.76,397.73,402.4,233629536
2000-03-13,402.4,402.4,388.11,390.15,122760144
2000-03-14,390.15,401.28,389.78,400.37,135394048
2000-03-15,400.37,402.48,386.2,386.2,164769216
2000-03-16,386.2,396.44,386.2,395.83,147178480
2000-03-17,395.83,407.78,395.83,399.74,243172032
2000-03-20,401.15,402.89,398.2,400.99,137662336
2000-03-21,401.74,404.73,397.07,398.26,161587520
2000-03-22,401.5,402.19,391.94,395.15,154227344
2000-03-23,395.15,401.5,395.15,399.03,182094240
2000-03-24,399.03,409.61,399.03,404.16,300615744
2000-03-27,404.16,412.34,404.16,408.24,184501504
2000-03-28,409.78,416.34,409.78,412.44,201600704
2000-03-29,416.56,416.92,409.62,410.69,227559120
2000-03-30,410.96,412.57,396.98,399.59,173206608
2000-03-31,399.59,401.01,396.67,400.32,102186440
2000-04-03,397.89,401.4,397.83,399.74,69613456
2000-04-04,397.98,397.98,391.16,392.7,104559920
2000-04-05,392.96,395.33,390.85,395.33,107165640
2000-04-07,395.33,403.74,395.33,403.45,146302432
2000-04-10,403.95,407.37,403.15,403.32,122838912
2000-04-11,401.02,402.79,398.92,400.74,142315712
2000-04-12,402.71,415.6,402.71,414.45,294490304
2000-04-17,388.3,393.32,387.6,392.88,291388896
2000-04-18,392.88,402.48,385.25,385.25,263508768
2000-04-19,388.88,391.97,388.61,391.22,152598976
2000-04-20,392.57,394.35,389.18,389.48,186821664
2000-04-21,389.48,395.06,389.48,395.06,163175984
2000-04-24,395.42,397.23,393.22,395,105555264
2000-04-25,395,397.7,394.54,396.48,134894608
2000-04-26,396.48,398.83,394.56,394.56,97921160
2000-04-27,394.56,397.9,393.36,393.36,79376072
2000-04-28,393.74,394.69,389.58,390.4,91600008
2000-05-02,390.4,391.25,385.44,385.44,66175272
2000-05-03,385.24,385.24,378.09,379.8,94908200
2000-05-04,378.49,381.24,376.79,379.97,84458704
2000-05-08,379.97,379.97,366.17,366.17,98411728
2000-05-09,366.17,366.17,357.77,357.77,102224080
2000-05-10,357.77,357.77,341.85,343.53,143484672
2000-05-11,343.53,343.53,333.37,336.54,105438384
2000-05-12,340.71,345.67,336.92,345.67,116421936
2000-05-15,345.67,348.01,338.77,339.37,83380832
2000-05-16,339.37,350.22,339.37,350.22,90138288
2000-05-18,350.22,350.22,340.46,343.39,96608160
2000-05-19,343.88,347.44,339.67,343.4,92650264
2000-05-22,343.4,343.4,331.6,333.36,81183776
