Date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_Volume
2000-01-03,3.9223,4.081,3.8996,4.081,2749639
2000-01-04,4.081,4.1036,3.9903,4.013,6332903
2000-01-05,3.8996,3.9676,3.8316,3.9223,6325846
2000-01-06,3.8996,3.9223,3.7636,3.8769,6497864
2000-01-07,3.8316,3.8769,3.7182,3.8769,5707464
2000-01-10,3.8996,3.8996,3.7862,3.8316,5404007
2000-01-11,3.8316,3.8996,3.7182,3.8996,7202696
2000-01-12,3.8316,3.8769,3.7862,3.8543,4918828
2000-01-13,3.7862,3.8543,3.7409,3.8089,6925703
2000-01-14,3.8316,3.8543,3.7182,3.8543,5036153
2000-01-17,3.8543,3.8543,3.8089,3.8543,3358318
2000-01-18,3.8089,3.8089,3.7409,3.7636,4273982
2000-01-19,3.7182,3.7182,3.6275,3.6729,9490093
2000-01-20,3.6729,3.7862,3.6729,3.7862,7854600
2000-01-21,3.7862,3.7862,3.5595,3.6049,18394442
2000-01-24,3.2874,3.3328,3.1174,3.2308,36475724
2000-01-25,3.4008,3.4688,3.3555,3.4008,39452074
2000-01-26,3.4008,3.4462,3.3668,3.3895,8632650
2000-01-27,3.4008,3.4008,3.2648,3.3101,9760910
2000-01-28,3.4008,3.4008,3.2081,3.2534,10906814
2000-01-31,3.2534,3.2874,3.1514,3.1968,10950921
2000-02-01,3.1968,3.2534,3.1741,3.1968,6917764
2000-02-02,3.2308,3.2648,3.1854,3.2308,5195821
2000-02-03,3.2194,3.2308,3.0834,3.1968,22679010
2000-02-04,3.1968,3.2308,3.1514,3.2081,12641989
2000-02-08,3.2081,3.2308,3.1287,3.1401,8689107
2000-02-09,3.1741,3.2194,3.1174,3.1628,9834128
2000-02-10,3.1401,3.2194,3.1287,3.1854,11568421
2000-02-11,3.1741,3.1854,3.0381,3.1287,20534521
2000-02-14,3.1741,3.1741,3.0381,3.0494,13803771
2000-02-15,3.0721,3.0721,2.936,3.004,13498550
2000-02-16,3.0154,3.0607,2.9814,3.0267,9512146
2000-02-17,3.0494,3.2308,3.0267,3.1854,15239017
2000-02-18,3.2308,3.2308,3.0607,3.0607,7299732
2000-02-21,3.0381,3.0607,2.9474,2.97,6602839
2000-02-22,3.0154,3.1061,2.936,3.0721,5518686
2000-02-23,3.1401,3.1401,3.0267,3.0381,6714871
2000-02-24,3.0834,3.0834,3.0267,3.0381,4391307
2000-02-25,3.0834,3.0834,3.0381,3.0381,2243289
2000-02-28,3.0381,3.1741,3.0267,3.0381,8475628
2000-02-29,3.0381,3.2874,3.0154,3.1741,22564331
2000-03-01,3.2308,3.2761,3.1741,3.2308,8139532
2000-03-02,3.2421,3.2421,3.1174,3.1401,8996975
2000-03-03,3.1514,3.1514,3.0834,3.0947,3755282
2000-03-06,3.1174,3.1968,3.1061,3.1741,6637243
2000-03-07,3.1741,3.2081,3.1287,3.2081,6586961
2000-03-08,3.1174,3.1968,3.1174,3.1287,5140246
2000-03-09,3.1514,3.1514,3.0607,3.0721,3697943
2000-03-10,3.0834,3.1741,3.0607,3.0607,3863786
2000-03-13,3.0607,3.1741,3.0607,3.1628,7492039
2000-03-14,3.1741,3.2308,3.1514,3.2308,6253511
2000-03-15,3.2081,3.2761,3.1628,3.1628,9063135
2000-03-17,3.1741,3.1968,3.1287,3.1741,5720696
2000-03-20,3.1741,3.1741,3.1174,3.1287,3869078
2000-03-21,3.1287,3.1401,3.0947,3.1061,4207821
2000-03-22,3.1287,3.1854,3.0607,3.1628,5687175
2000-03-23,3.1514,3.1628,3.0607,3.0607,2739936
2000-03-24,3.0607,3.0947,3.0494,3.0947,3509164
2000-03-27,3.0947,3.1287,3.0607,3.0834,3698825
2000-03-28,3.0721,3.0834,3.0267,3.0267,4151364
2000-03-29,3.0267,3.0721,2.9587,2.9587,7016564
2000-03-30,2.9474,2.9587,2.7887,2.8453,16888624
2000-03-31,2.834,2.834,2.7206,2.766,19327749
2000-04-03,2.7773,2.7773,2.5733,2.63,13040717
2000-04-04,2.6073,2.63,2.5846,2.6186,10684514
2000-04-05,2.6186,2.6753,2.6073,2.664,9237800
2000-04-06,2.698,2.698,2.6186,2.664,8083957
2000-04-07,2.664,2.834,2.664,2.7773,10293725
2000-04-10,2.7773,2.8227,2.7773,2.8,5177296
2000-04-11,2.8,2.9247,2.732,2.9247,7971043
2000-04-12,2.9247,2.9474,2.766,2.834,9912639
2000-04-13,2.8113,2.834,2.7433,2.834,14608285
2000-04-14,2.7887,2.8113,2.766,2.7887,8554139
2000-04-17,2.63,2.6866,2.596,2.6073,10970328
2000-04-18,2.7206,2.7547,2.6866,2.7433,11103532
2000-04-19,2.7773,2.834,2.664,2.7093,8971393
2000-04-20,2.7093,2.766,2.6866,2.766,6526093
2000-04-24,2.766,2.766,2.7433,2.7547,3061036
2000-04-25,2.7547,2.7547,2.698,2.7433,1508464
2000-04-26,2.766,2.8,2.732,2.8,2750521
2000-04-27,2.7887,2.8907,2.766,2.7887,5255807
2000-04-28,2.8,2.834,2.7887,2.7887,3325678
2000-05-02,2.8113,2.8227,2.7206,2.7206,2667600
2000-05-03,2.732,2.7433,2.6866,2.698,1785457
2000-05-04,2.6753,2.732,2.6413,2.6866,2641136
2000-05-05,2.6866,2.7093,2.6413,2.6753,3128078
2000-05-08,2.7206,2.732,2.63,2.6866,2193889
2000-05-09,2.6866,2.732,2.6526,2.6753,2270636
2000-05-10,2.6753,2.6866,2.6413,2.6526,2833443
2000-05-11,2.6526,2.6753,2.63,2.6413,1426425
2000-05-12,2.6413,2.698,2.6186,2.6526,5193175
2000-05-15,2.664,2.664,2.6186,2.6413,1242939
2000-05-16,2.6526,2.6526,2.6073,2.6413,3760575
2000-05-17,2.6413,2.6413,2.596,2.63,7055378
2000-05-19,2.6753,2.6753,2.5506,2.5733,13659982
2000-05-22,2.5733,2.5733,2.4599,2.5279,11046193
2000-05-23,2.4939,2.63,2.4713,2.6073,4847375
2000-05-24,2.5846,2.6186,2.5053,2.5506,6272036
2000-05-25,2.4826,2.5846,2.4826,2.4826,6191761
2000-05-26,2.4939,2.6073,2.4599,2.6073,6463461
2000-05-29,2.596,2.6753,2.5393,2.6526,8170407
2000-05-30,2.6753,2.6866,2.5506,2.596,5272568
2000-05-31,2.6073,2.664,2.4826,2.664,11432571
2000-06-01,2.6073,2.6186,2.5393,2.5506,12103882
2000-06-02,2.596,2.6186,2.5619,2.6186,2862553
2000-06-05,2.6186,2.63,2.5166,2.5393,3770278
