Date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_Volume
2000-01-03,4.113,4.169,4.085,4.141,2601000
2000-01-04,4.141,4.197,4.141,4.197,1727000
2000-01-05,4.057,4.141,4.001,4.057,1945000
2000-01-06,4.057,4.141,4.057,4.113,1240000
2000-01-11,4.169,4.337,4.169,4.253,4644000
2000-01-12,4.253,4.365,4.253,4.281,4868000
2000-01-13,4.309,4.421,4.309,4.393,5075000
2000-01-14,4.393,4.673,4.393,4.645,9615000
2000-01-17,4.701,5.037,4.701,4.953,7634000
2000-01-18,4.953,4.953,4.701,4.701,3472000
2000-01-19,4.701,4.785,4.421,4.421,4649000
2000-01-20,4.449,4.561,4.421,4.449,3180000
2000-01-21,4.449,4.561,4.449,4.477,4632000
2000-01-24,4.477,4.617,4.477,4.617,2428000
2000-01-25,4.617,4.617,4.449,4.561,3122000
2000-01-26,4.561,4.645,4.533,4.533,2397000
2000-01-27,4.533,4.561,4.421,4.477,1100000
2000-01-28,4.477,4.561,4.421,4.477,1590000
2000-01-31,4.477,4.505,4.393,4.421,2439000
2000-02-02,4.449,4.589,4.449,4.561,2664000
2000-02-03,4.561,4.645,4.477,4.533,2279000
2000-02-08,4.561,4.757,4.561,4.645,3353000
2000-02-09,4.645,4.785,4.645,4.701,3458000
2000-02-10,4.701,4.785,4.673,4.729,5100000
2000-02-11,4.729,4.841,4.729,4.757,2669000
2000-02-14,4.729,4.729,4.645,4.729,1833000
2000-02-15,4.729,4.729,4.589,4.645,1670000
2000-02-16,4.645,4.673,4.561,4.589,2647000
2000-02-17,4.589,4.645,4.561,4.561,2333000
2000-02-18,4.617,4.757,4.617,4.701,2865000
2000-02-21,4.701,4.729,4.589,4.617,2345000
2000-02-22,4.617,4.617,4.533,4.589,1223000
2000-02-23,4.589,4.589,4.505,4.561,4062000
2000-02-24,4.561,4.561,4.477,4.533,1933000
2000-02-25,4.533,4.533,4.477,4.477,1799000
2000-02-28,4.477,4.505,4.337,4.449,1977000
2000-02-29,4.477,4.533,4.421,4.505,2111000
2000-03-01,4.337,4.505,4.337,4.337,3393000
2000-03-02,4.365,4.365,4.225,4.281,1957000
2000-03-03,4.281,4.281,4.057,4.197,3478000
2000-03-06,4.197,4.281,4.197,4.225,1586000
2000-03-07,4.225,4.253,4.169,4.253,1250000
2000-03-08,4.169,4.309,4.057,4.281,2928000
2000-03-09,4.281,4.309,4.197,4.281,947000
2000-03-10,4.225,4.309,4.225,4.281,1872000
2000-03-13,4.281,4.309,4.253,4.281,1634000
2000-03-14,4.253,4.281,4.225,4.281,660000
2000-03-15,4.281,4.281,4.197,4.225,442000
2000-03-17,4.225,4.309,4.225,4.281,2455000
2000-03-20,4.197,4.281,4.197,4.253,2080000
2000-03-21,4.225,4.309,4.225,4.281,1960000
2000-03-22,4.281,4.337,4.281,4.281,2340000
2000-03-23,4.281,4.449,4.281,4.393,2488000
2000-03-24,4.477,4.477,4.365,4.365,1302000
2000-03-27,4.365,4.449,4.365,4.421,2178000
2000-03-28,4.421,4.421,4.337,4.365,1115000
2000-03-29,4.365,4.393,4.309,4.393,1612000
2000-03-30,4.393,4.393,4.337,4.365,2055000
2000-03-31,4.337,4.365,4.337,4.365,1424000
2000-04-03,4.365,4.365,4.253,4.309,2824000
2000-04-04,4.281,4.309,4.253,4.281,1324000
2000-04-05,4.281,4.309,4.253,4.309,3748000
2000-04-07,4.281,4.281,3.973,4.057,8762000
2000-04-10,4.057,4.057,3.694,3.778,9052000
2000-04-11,3.778,3.778,3.582,3.694,11212000
2000-04-12,3.694,3.861,3.694,3.833,3253000
2000-04-13,3.806,3.806,3.694,3.778,4633000
2000-04-14,3.75,3.806,3.722,3.778,2441000
2000-04-17,3.638,3.638,3.47,3.498,9287000
2000-04-18,3.554,3.638,3.47,3.526,5145000
2000-04-19,3.582,3.61,3.526,3.554,2916000
2000-04-20,3.554,3.582,3.526,3.582,933000
2000-04-21,3.582,3.61,3.554,3.61,920000
