Date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_Volume
2000-01-03,650,651.23,641.67,651.23,23208
2000-01-04,683.33,703.32,683.33,700,114066
2000-01-05,683.67,713.33,644.02,686.67,53925
2000-01-06,699,704.67,673.33,675.9,12711
2000-01-07,666.33,673.33,633.33,636.67,61794
2000-01-10,650,679,640,653.33,21309
2000-01-11,666.67,666.67,631.67,643.33,56454
2000-01-12,640,641.5,623.33,633,3903
2000-01-13,608.67,636.33,607.33,613.5,7506
2000-01-14,621.67,629.67,596.72,601.67,15243
2000-01-17,633.33,634.67,586.67,586.67,12657
2000-01-18,585,585,539.75,539.75,56370
2000-01-19,545.67,571.67,543.33,553.33,31152
2000-01-20,570,576.67,545,553.5,61119
2000-01-21,563.33,566.67,541.67,541.68,57132
2000-01-24,563,563.33,543.33,547.35,49983
2000-01-25,553.33,553.33,539.33,539.33,11184
2000-01-27,542,582.47,533.33,570,80637
2000-01-28,573.33,615.58,571.67,610,620088
2000-01-31,620,640,593.67,620,652974
2000-02-01,606.67,666.67,600.35,635,322272
2000-02-02,649.65,669.98,633.67,645.33,166665
2000-02-03,653.33,696.95,653.33,696.95,95631
2000-02-04,752.7,752.7,725,752.7,73941
2000-02-07,805,812.9,783.33,812.9,15591
2000-02-08,833.33,877.92,833.33,877.92,16425
2000-02-09,948.13,948.13,948.13,948.13,11079
2000-02-10,1021.67,1023.97,967,1023.97,60636
2000-02-11,1053.67,1083.33,942.05,966.67,96921
2000-02-14,966.67,981.67,889.35,900,163215
2000-02-15,833.42,866.67,828.02,854,54933
2000-02-16,806.67,873.33,806.67,822.85,61662
2000-02-17,826.67,866.67,826.67,860,37362
2000-02-18,858.33,866.67,793.33,793.33,48135
2000-02-21,825,833.33,798,820,132426
2000-02-22,824.67,841.67,767,795,53811
2000-02-23,799.67,858.58,796.67,858.58,239745
2000-02-24,883.33,891.67,826.67,856.27,48450
2000-02-25,841.67,841.67,795,815.87,52902
2000-02-28,856.67,856.67,750.67,808,71181
2000-02-29,825,846.67,743.37,743.37,98241
2000-03-01,716.67,796.67,716.67,758.33,101847
2000-03-02,773.33,806.67,736.67,755,79098
2000-03-03,770,775,694.62,694.62,21021
2000-03-06,735,750.17,733.33,750.17,139098
2000-03-07,783.33,800,690.17,690.17,149268
2000-03-08,703,741.67,675.33,699.67,171351
2000-03-09,716.33,726.33,643.7,643.7,23016
2000-03-10,643.7,695.18,618.33,695,244338
2000-03-13,740,750.78,715,740,237435
2000-03-14,729.33,750,700.67,738.33,64062
2000-03-15,716.33,716.67,679.28,683.5,45852
2000-03-16,666.67,738.17,650.67,738.17,104376
2000-03-21,779.67,797.22,766.67,797.22,48186
2000-03-22,833.35,860.98,833.35,860.98,18414
2000-03-23,916.67,923.33,792.12,792.12,34218
2000-03-24,758.33,773,728.75,728.75,40650
2000-03-27,736.67,766.67,670.47,700,139644
2000-03-28,678.33,690,657,689,63783
2000-03-29,693,736.67,690,695.23,88386
2000-03-30,688.33,699.67,648.33,652.17,70317
2000-03-31,616.67,629.33,605,613.33,185175
2000-04-03,631.33,631.33,564.28,564.3,41418
2000-04-04,521.33,531.67,519.17,519.17,8586
2000-04-05,500,506.07,477.65,503.33,103938
2000-04-06,516.67,533.37,483.33,513,43257
2000-04-07,529.67,554.03,529.67,554.03,18978
2000-04-10,598.33,598.35,598.33,598.35,3027
2000-04-11,603.37,646.2,603.37,645.5,30858
2000-04-12,620,641.67,610.67,613.22,15336
2000-04-13,598.35,598.35,564.17,570,23568
2000-04-17,524.42,548,524.42,524.42,14682
2000-04-18,529.33,545,483.33,483.35,98139
2000-04-19,500,522,444.68,455,120093
2000-04-20,448,448,418.62,427.17,64644
2000-04-24,446.67,458.32,402.17,450.52,25869
2000-04-25,432.67,441.33,414.48,435.83,47280
2000-04-26,446.67,466.67,435.83,464,23946
2000-04-27,450.67,463.17,436.67,453.33,13899
2000-04-28,455,458.67,436.67,443.33,17961
2000-05-02,407.88,410,390.15,390.15,40470
2000-05-03,366.67,379.33,343.33,343.33,84327
2000-05-04,338.33,370.78,315.88,370.78,123000
2000-05-05,373.33,409.33,373.33,386.67,102717
2000-05-08,396.67,424.98,376.35,377.03,63804
2000-05-09,358.33,370,347,361.67,40179
2000-05-10,371.32,377.33,351.02,361.65,16884
2000-05-11,350.33,350.33,328,328.82,12723
2000-05-12,328.33,338.33,316.67,317.33,38748
2000-05-15,300.67,308.67,292,292.67,51558
2000-05-16,300,300,281.67,293.67,78837
2000-05-17,300,319.67,300,318.33,81456
2000-05-18,302.27,350,302.27,344.33,22440
2000-05-19,337,353.33,303.33,313.92,14340
2000-05-22,308.67,315,276.67,286.65,37941
2000-05-23,289.65,308.5,275.33,308.5,132075
2000-05-24,300.67,343.33,285,331.15,53226
2000-05-25,341.67,350,318.33,320.92,21714
2000-05-26,315,359.42,315,359.42,178152
2000-05-29,382.98,402.53,365,402.53,25170
2000-05-30,418.33,450.83,413.33,448.33,111693
2000-05-31,466.65,502.12,416.67,425,99090
2000-06-01,433.33,450,405.33,430.67,34983
2000-06-02,441.67,450,430,432.33,27312
2000-06-05,466,466.92,406.67,411.58,75366
2000-06-06,411.67,411.67,395.02,405.98,111924
2000-06-07,409.67,422.42,400,407.9,23730
2000-06-08,411.67,431.67,408.67,414.72,34617
2000-06-09,401.67,438.45,401.67,433.12,46770
2000-06-12,447.67,453.33,423.33,427.82,22440
2000-06-13,423.33,425,400,410.37,34389
2000-06-14,415.67,435,415,424.23,35469
2000-06-15,413.67,430,413.67,418.03,19608
2000-06-16,441.67,468.18,441.67,460.08,97605
2000-06-19,496.33,513.33,480,482.15,154185
2000-06-20,488,509.67,475,481.52,101763
2000-06-21,490,493.33,430,433.38,70425
2000-06-22,433.33,459.67,423.33,435.23,52083
2000-06-23,422,453,408.33,412.02,162894
2000-06-26,416.67,444.97,386.67,419.95,135432
2000-06-27,425,444.67,411.67,418.53,150663
2000-06-28,393.68,406,382.08,398.95,101946
2000-06-29,407,410.18,403.33,405.78,47232
2000-06-30,405,408.33,393.33,403.27,80484
2000-07-03,412.67,413,397.1,399.78,20343
2000-07-04,400,406.67,390,406.58,66348
2000-07-05,406,413.33,405.33,408.45,37605
2000-07-06,405.7,406.67,399.33,406.23,60711
2000-07-07,396,405.33,395.33,401.32,19443
2000-07-10,403.67,409,398.33,399.97,8763
2000-07-11,400.67,400.67,391.03,393.18,18159
2000-07-12,393.33,400,387.67,398.48,88047
2000-07-13,401.67,404.92,393.33,395.35,8640
2000-07-14,399.67,399.67,386.7,388.73,16251
2000-07-17,383.33,383.33,330,336.18,60006
2000-07-18,333.67,362.8,317,336.73,210825
2000-07-19,331.67,337.67,328.33,332.4,89025
2000-07-20,328.67,332.33,325,330.82,27465
2000-07-21,333,338.3,324.05,325.12,68649
2000-07-24,316,320,288.33,295.75,45447
2000-07-25,288.33,307.5,280,302.38,101238
2000-07-26,300.67,311.33,293.7,298.78,97038
2000-07-27,300,303.3,275,280.52,67365
2000-07-28,293.33,302.95,285.33,288.4,120684
2000-07-31,300,300,280.67,284.2,48063
2000-08-01,291.33,291.33,267.33,269.22,109341
2000-08-02,276,283.33,271.08,273.42,93384
2000-08-03,273.33,273.33,268.33,269.98,128625
2000-08-04,269,270,249.67,256.12,120492
2000-08-07,259,263.33,246.7,258.32,31479
2000-08-08,260,262.83,256.03,259.12,31644
2000-08-09,260,271.17,260,263.38,127164
2000-08-10,260.33,260.33,247,249.28,37857
2000-08-11,247,260,241.67,246.23,278187
2000-08-14,250.33,252.33,233.33,239.97,166485
2000-08-16,249.67,278.35,240,277.12,441522
2000-08-17,289.33,321.45,283.33,321.4,596094
2000-08-18,316.7,323.33,295.17,302.9,395235
2000-08-21,305,310,286.67,287.2,142497
2000-08-22,288.33,288.33,255.33,259.95,197274
2000-08-23,260,263.33,246.67,247.88,263262
2000-08-24,249.33,261.67,243.67,258.47,120318
2000-08-25,259.3,281.67,259.3,277.1,255219
2000-08-28,296,299.25,278.67,280.1,526992
2000-08-29,280.67,283.33,259.33,267.37,412152
2000-08-30,269.77,282.23,269.67,276.28,421236
2000-08-31,275.5,277,267.33,270.48,270921
2000-09-04,276.67,283.33,275,276.33,92499
2000-09-05,270,278.33,270,275.93,49992
2000-09-06,273.37,275.5,267,271.65,137334
2000-09-07,267.37,270.98,249.93,267.38,229443
2000-09-08,263.33,278.67,263.33,275.62,181800
2000-09-11,277.33,281.67,268.33,269.53,106488
2000-09-12,273,275.33,268.17,273.07,138939
2000-09-13,274.9,276.67,261.67,264,127338
2000-09-14,265,269,260.67,267.75,61470
2000-09-15,264.02,269.17,253.33,254.28,119802
2000-09-18,253.3,261.65,251,252.27,58740
2000-09-19,251,253.33,238.7,243.18,124227
2000-09-20,248.67,249,241.5,242.75,84393
2000-09-21,240,241,233.33,237.97,105192
2000-09-22,235,235.67,225,225.13,109179
2000-09-25,233.33,239.67,226.68,234.18,29922
2000-09-26,238.67,248.67,227.17,243.83,101139
2000-09-27,242.67,255,235.37,248.73,70632
2000-09-28,251.67,256,230,235.57,217956
2000-09-29,238.97,246.67,235,243.7,131184
2000-10-03,236.67,255,236.67,243.38,105330
2000-10-04,243.33,258,242.67,250.57,60084
