Date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_Volume
2000-01-03,1030,1040,1025,1035,48460
2000-01-04,1090,1100,1080,1090,448600
2000-01-05,1050,1050,1005,1010,294920
2000-01-06,1010,1010,995,995,341830
2000-01-07,990,1010,990,1005,196180
2000-01-10,1020,1035,1020,1020,159750
2000-01-11,1025,1030,1025,1030,137370
2000-01-12,1030,1030,1000,1010,103330
2000-01-13,1000,1010,985,985,85460
2000-01-14,995,1005,990,995,77490
2000-01-17,1000,1005,995,1005,32080
2000-01-18,1000,1010,1000,1010,48220
2000-01-19,1005,1010,995,1000,170340
2000-01-20,990,990,975,990,242860
2000-01-21,980,985,975,980,160290
2000-01-24,975,985,970,975,75610
2000-01-25,980,1000,980,990,204670
2000-01-26,990,995,980,990,203990
2000-01-27,970,985,960,965,541640
2000-01-28,960,965,960,965,409800
2000-01-31,950,960,940,950,206540
2000-02-01,950,955,940,940,340640
2000-02-02,960,960,945,955,383720
2000-02-03,955,980,955,980,17130
2000-02-04,980,995,975,980,31300
2000-02-07,975,975,965,970,44760
2000-02-08,965,980,965,975,192140
2000-02-09,980,1000,980,990,237600
2000-02-10,980,980,955,965,318090
2000-02-11,965,965,935,945,785630
2000-02-14,930,960,930,950,193950
2000-02-15,950,955,945,945,560440
2000-02-16,950,950,940,945,92770
2000-02-17,925,950,925,945,481080
2000-02-18,945,945,930,930,62300
2000-02-21,950,950,915,925,203750
2000-02-22,915,920,915,920,90800
2000-02-23,920,925,915,920,198340
2000-02-24,925,925,915,915,115260
2000-02-28,875,875,855,860,237040
2000-02-29,860,895,855,890,338100
2000-03-01,890,920,890,905,217530
2000-03-02,930,930,910,930,110460
2000-03-03,925,945,925,940,93270
2000-03-06,950,985,950,980,98320
2000-03-07,960,970,960,965,151920
2000-03-08,920,930,910,915,294150
2000-03-09,910,910,895,895,56170
2000-03-10,890,905,885,895,169350
2000-03-13,870,895,850,850,476860
2000-03-14,840,880,840,870,27000
2000-03-15,870,900,870,895,221090
2000-03-16,900,905,895,900,61980
2000-03-17,895,895,880,880,104220
2000-03-20,880,900,880,890,69870
2000-03-21,885,885,880,880,140940
2000-03-22,885,885,875,880,67510
2000-03-23,880,890,875,880,227180
2000-03-24,880,885,875,875,89440
2000-03-27,880,900,880,885,169440
2000-03-28,890,900,890,895,62170
2000-03-29,895,915,895,910,102960
2000-03-30,910,915,910,915,105680
2000-03-31,910,910,895,900,151300
2000-04-03,900,915,900,915,17020
2000-04-04,915,920,915,920,25490
2000-04-05,915,920,915,920,39280
2000-04-06,915,945,915,940,118540
2000-04-07,945,955,945,950,147600
2000-04-10,950,955,945,955,158020
2000-04-11,950,950,935,935,75960
2000-04-12,920,920,905,910,140520
2000-04-13,900,900,890,895,54000
2000-04-14,860,870,860,860,253910
2000-04-17,820,835,810,830,432310
2000-04-18,845,855,840,845,204370
2000-04-19,850,870,850,855,190480
2000-04-24,860,860,835,840,54310
2000-04-25,830,830,765,780,409120
2000-04-26,780,795,780,780,207610
2000-04-27,780,785,770,780,461510
2000-04-28,750,750,735,740,365660
2000-05-02,770,785,760,780,126710
2000-05-03,780,790,780,785,196120
2000-05-04,770,770,740,760,136300
2000-05-05,740,785,740,780,277310
2000-05-08,780,800,765,765,182660
2000-05-09,780,785,770,780,104030
2000-05-10,780,785,770,775,71230
2000-05-11,775,780,775,775,46510
2000-05-12,775,795,770,795,421940
2000-05-15,785,790,745,765,237920
2000-05-16,760,760,700,705,526590
2000-05-17,715,745,715,735,389470
2000-05-18,735,740,700,725,70820
2000-05-19,705,705,680,695,512290
2000-05-22,680,680,665,670,386570
2000-05-23,670,715,670,705,273990
2000-05-24,720,750,720,740,386400
2000-05-25,745,755,745,750,507930
2000-05-26,755,755,740,750,343160
2000-05-29,740,745,735,740,172710
2000-05-30,730,755,730,750,75570
2000-05-31,760,775,760,765,41040
2000-06-01,760,760,740,745,142900
2000-06-02,740,740,735,735,130960
2000-06-05,750,765,750,765,56750
2000-06-06,740,760,740,760,71410
2000-06-07,745,750,740,740,54360
2000-06-08,745,750,745,750,27100
2000-06-09,745,780,745,780,237150
2000-06-13,775,785,775,780,220360
2000-06-14,785,785,780,780,283100
2000-06-15,795,815,795,810,163360
2000-06-16,800,805,795,800,268080
2000-06-19,800,800,790,790,84010
2000-06-20,790,795,790,795,115240
2000-06-21,790,795,790,790,107640
2000-06-22,795,795,790,790,155010
2000-06-23,795,795,780,785,37360
2000-06-26,785,790,785,785,57200
2000-06-27,780,780,765,770,372020
2000-06-28,770,780,765,775,225630
2000-06-29,780,785,780,780,121070
2000-06-30,780,780,770,775,398780
2000-07-03,775,785,775,780,6800
2000-07-04,785,785,780,780,39240
2000-07-05,785,790,785,785,28690
2000-07-06,790,795,790,790,64870
2000-07-07,805,805,795,800,140620
2000-07-10,795,795,785,790,54480
2000-07-11,790,795,785,790,29510
2000-07-12,790,795,790,790,44550
2000-07-13,785,785,770,770,491010
2000-07-14,770,775,770,770,154370
2000-07-17,765,785,765,785,109110
2000-07-18,785,790,780,785,18320
2000-07-19,780,780,755,765,106890
2000-07-20,765,770,760,765,202220
2000-07-21,760,760,745,750,183870
2000-07-24,745,750,740,745,189270
2000-07-25,745,745,740,740,24180
2000-07-26,740,740,735,735,43930
2000-07-27,720,720,700,710,81860
2000-07-28,695,700,685,690,168070
2000-07-31,680,680,660,670,161740
2000-08-01,675,685,675,680,199780
2000-08-02,680,685,675,680,81790
2000-08-03,690,695,690,690,62530
2000-08-04,685,685,675,680,120330
2000-08-07,685,690,685,685,52630
2000-08-08,690,695,690,690,94640
2000-08-09,690,695,690,695,64500
