Date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_Volume
2000-01-04,8644.91,8803.61,8642.5,8756.55,3638182912
2000-01-05,8690.6,8867.68,8668.02,8849.87,4252956928
2000-01-06,8876.59,9023.99,8863.91,8922.03,4466215936
2000-01-07,8856.87,8940.77,8739.43,8845.47,4222008320
2000-01-08,nan,nan,nan,nan,4222008320
2000-01-10,8918.6,9126.02,8891.79,9102.6,4092094464
2000-01-11,9199.1,9332.52,8890.45,8927.03,5050593280
2000-01-12,8964.78,9144.65,8937.31,9144.65,3691097856
2000-01-13,9168.73,9237.85,9095.35,9107.19,4283678976
2000-01-14,9172.17,9236.85,8967.56,9023.24,3546740992
2000-01-15,9155.74,9210.37,9105.02,9191.37,3024499200
2000-01-17,9256.57,9384.52,9230.39,9315.43,3778576896
2000-01-18,9346.98,9353.89,9210.36,9250.19,3589733888
2000-01-19,9255.7,9335.73,9136.76,9151.44,3380921600
2000-01-20,9175.27,9211.34,9077.7,9136.95,2870707712
2000-01-21,9170.41,9305.27,9170.41,9255.94,3278770944
2000-01-24,9327.98,9425.87,9327.98,9387.07,3863545088
2000-01-25,9411.1,9413.21,9308.01,9372.37,3714831616
2000-01-26,9469.74,9617.32,9469.74,9581.96,4408222208
2000-01-27,9639.86,9733.26,9618.3,9628.98,4676507648
2000-01-28,9600.45,9753.72,9600.45,9696.91,4547509760
2000-01-29,9618.78,9677.55,9585.82,9636.38,3338051072
2000-01-31,9653.24,9749.51,9613.8,9744.89,3004219904
2000-02-01,9829.68,9901.8,9800.63,9856.39,4074018304
2000-02-05,nan,nan,nan,nan,4074018304
2000-02-09,10039.67,10137.24,9932.07,10008.88,4236993024
2000-02-10,10008.38,10098.3,9957.66,10057.67,4816317952
2000-02-11,10125.51,10227.33,10096.54,10128.67,5269673472
2000-02-14,10140.65,10167.71,9963.5,9971.45,4536575488
2000-02-15,9982.27,10014.25,9853.86,9957.74,3649171456
2000-02-16,10010.87,10099.97,10010.87,10064.49,3995908608
2000-02-17,10089.89,10267.46,10089.89,10202.2,5321694208
2000-02-18,10266.79,10393.59,10062.23,10096.38,5904701952
2000-02-19,10084.29,10168.18,10031.92,10161.05,5238745600
2000-02-21,10165.24,10212.99,9912.67,9912.67,6140334080
2000-02-22,9860.12,9917.13,9596.68,9731.93,4856740864
2000-02-23,9738.19,9803.81,9623.46,9642.26,3774613504
2000-02-24,9725.3,9781.31,9582,9599.17,3651807744
2000-02-25,9620.92,9639.12,9407.79,9432.49,3236561152
2000-02-26,nan,nan,nan,nan,3236561152
2000-02-29,9525.65,9581,9410.11,9435.94,2450744576
2000-03-01,9572.24,9689.1,9572.24,9689.1,2983236096
2000-03-02,9757.08,9781.27,9538.12,9543.82,2775108608
2000-03-03,9557.66,9650.74,9547.4,9588.03,2672341760
2000-03-04,9668.21,9712.24,9505.93,9517.97,2865818112
2000-03-06,9519.8,9519.8,9356.58,9367.91,2303814912
2000-03-07,9340.49,9440.32,9286.39,9380.07,2880714752
2000-03-08,9402.7,9482.18,9379.29,9389.49,2691638272
2000-03-09,9453.7,9587.27,9453.7,9587.27,3278859008
2000-03-10,9662.61,9712.39,9422.08,9429.6,3615740416
2000-03-13,9279.9,9279.9,8807.36,8811.95,2265256192
2000-03-14,8728.3,8871.83,8598.07,8835.58,2554007808
2000-03-15,8794.3,8905.82,8634.49,8640.03,2391764224
2000-03-16,8472.54,8714.06,8250.46,8682.76,2597163264
2000-03-17,8700.99,8799.09,8610.58,8763.27,3298758656
2000-03-18,nan,nan,nan,nan,3298758656
2000-03-20,8509.32,8536.05,8483.41,8536.05,1809953408
