Date,Open,High,Low,Close,Adj Close,Volume
2017-03-15,3.640000,3.680000,3.610000,3.650000,3.650000,6919200
2017-03-16,3.690000,3.740000,3.680000,3.730000,3.730000,16063716
2017-03-17,3.740000,3.750000,3.710000,3.720000,3.720000,15424800
2017-03-20,3.730000,3.750000,3.700000,3.720000,3.720000,6612500
2017-03-21,3.730000,3.750000,3.720000,3.730000,3.730000,8027100
2017-03-22,3.700000,3.700000,3.630000,3.660000,3.660000,11506300
2017-03-23,3.670000,3.690000,3.620000,3.650000,3.650000,7547200
2017-03-24,3.660000,3.700000,3.640000,3.690000,3.690000,9418800
2017-03-27,3.660000,3.670000,3.620000,3.640000,3.640000,8368200
2017-03-28,3.670000,3.690000,3.650000,3.660000,3.660000,6748300
2017-03-29,3.670000,3.700000,3.660000,3.680000,3.680000,11420000
2017-03-30,3.670000,3.680000,3.620000,3.630000,3.630000,12952200
2017-03-31,3.640000,3.680000,3.620000,3.630000,3.630000,18721800
