Date,Open,High,Low,Close,Adj Close,Volume
2015-07-01,3.960000,3.970000,3.920000,3.930000,3.492484,2238400
2015-07-02,3.960000,3.960000,3.920000,3.920000,3.483597,1430100
2015-07-03,3.930000,3.970000,3.930000,3.950000,3.510257,1702400
2015-07-06,3.950000,3.950000,3.920000,3.950000,3.510257,1183600
2015-07-07,3.960000,4.000000,3.960000,3.980000,3.536918,1724600
2015-07-08,3.960000,4.020000,3.960000,3.980000,3.536918,4134900
2015-07-09,3.910000,3.980000,3.900000,3.970000,3.528031,2363600
2015-07-10,3.980000,4.000000,3.930000,3.940000,3.501371,1961800
2015-07-13,3.950000,3.970000,3.940000,3.960000,3.519144,808000
2015-07-14,3.960000,4.000000,3.960000,3.980000,3.536918,1250100
2015-07-15,3.950000,3.980000,3.950000,3.960000,3.519144,957300
2015-07-16,3.970000,3.980000,3.950000,3.970000,3.528031,1621600
2015-07-20,3.970000,3.980000,3.910000,3.930000,3.492484,2457000
2015-07-21,3.950000,3.980000,3.940000,3.950000,3.510257,2794500
2015-07-22,3.970000,3.970000,3.930000,3.930000,3.492484,761300
2015-07-23,3.940000,3.970000,3.940000,3.940000,3.501371,765800
2015-07-24,3.960000,3.980000,3.940000,3.950000,3.510257,671500
2015-07-27,3.970000,3.970000,3.940000,3.970000,3.528031,1720900
2015-07-28,3.950000,3.970000,3.860000,3.940000,3.501371,3065100
2015-07-29,3.960000,3.970000,3.920000,3.930000,3.492484,1981700
2015-07-30,3.930000,3.930000,3.890000,3.910000,3.474711,1966500
2015-07-31,3.890000,3.900000,3.830000,3.830000,3.403617,5553800
2015-08-03,3.830000,3.860000,3.750000,3.760000,3.341410,2305500
2015-08-04,3.790000,3.800000,3.770000,3.790000,3.368070,1529800
2015-08-05,3.790000,3.800000,3.750000,3.750000,3.332523,1416700
2015-08-06,3.780000,3.890000,3.780000,3.830000,3.403617,3181700
2015-08-07,3.830000,3.830000,3.830000,3.830000,3.403617,0
2015-08-11,3.830000,3.950000,3.830000,3.830000,3.403617,5031800
